White,Red,Green,Blue,Total,color_label
5,4,4,8,65535,black
14,8,8,11,15,black
18,8,10,14,22,black
20,11,10,13,26,black
22,11,11,14,30,black
21,11,11,15,26,black
22,11,10,15,30,black
23,12,12,15,30,black
23,11,13,17,28,black
23,12,11,16,30,black
23,12,11,16,30,black
26,12,13,17,36,black
23,12,13,17,27,black
24,13,11,17,31,black
27,12,13,16,40,black
24,12,13,17,30,black
24,13,12,17,30,black
26,13,14,17,34,black
24,13,12,18,29,black
25,13,13,17,32,black
27,12,14,17,38,black
24,13,12,17,30,black
27,13,14,17,37,black
25,13,13,17,32,black
25,13,13,17,32,black
28,14,13,17,40,black
24,13,12,17,30,black
25,13,13,17,32,black
26,12,14,18,34,black
25,13,12,17,33,black
27,13,14,18,36,black
25,12,14,17,32,black
24,13,13,16,30,black
25,12,14,18,31,black
24,13,12,17,30,black
27,13,13,17,38,black
24,13,12,17,30,black
27,13,13,16,39,black
24,13,12,17,30,black
26,14,13,16,35,black
25,13,12,17,33,black
26,14,13,16,35,black
24,13,12,17,30,black
27,13,14,18,36,black
25,13,13,17,32,black
27,12,14,17,38,black
25,13,13,17,32,black
26,12,14,17,35,black
25,13,12,17,33,black
28,12,14,18,40,black
25,13,12,17,33,black
27,13,14,18,36,black
25,13,12,17,33,black
28,13,14,18,39,black
25,13,12,17,33,black
27,12,14,18,37,black
25,14,12,18,31,black
27,13,14,18,36,black
25,13,12,18,32,black
28,14,14,19,37,black
25,14,12,18,31,black
28,13,14,19,38,black
25,14,13,18,30,black
28,13,15,19,37,black
26,14,13,18,33,black
27,14,14,19,34,black
25,14,13,17,31,black
28,13,14,19,38,black
25,14,14,17,30,black
28,14,15,19,36,black
26,14,14,17,33,black
26,13,15,19,31,black
26,14,14,17,33,black
26,13,14,18,33,black
25,14,14,16,31,black
25,14,14,18,29,black
26,14,14,17,33,black
25,14,14,18,29,black
25,14,13,17,31,black
25,13,13,18,31,black
26,14,13,16,35,black
25,13,15,19,28,black
25,14,13,18,30,black
27,13,14,17,37,black
25,14,12,18,31,black
27,12,14,18,37,black
25,14,13,17,31,black
27,13,13,18,37,black
25,14,14,17,30,black
26,14,12,18,34,black
