White,Red,Green,Blue,Total,color_label
89,29,58,102,65614,blue
146,41,71,115,211,blue
161,45,76,119,243,blue
165,47,78,121,249,blue
168,49,80,123,252,blue
169,50,81,124,252,blue
171,50,82,124,257,blue
172,51,83,125,257,blue
172,52,83,125,256,blue
172,52,83,125,256,blue
172,52,83,126,255,blue
173,52,83,126,258,blue
173,53,84,126,256,blue
173,53,85,126,255,blue
174,53,85,126,258,blue
174,53,85,126,258,blue
175,53,85,126,261,blue
175,53,85,127,260,blue
175,52,85,127,261,blue
175,52,85,126,262,blue
174,53,85,126,258,blue
174,53,84,126,259,blue
174,53,85,127,257,blue
174,53,85,126,258,blue
175,54,85,126,260,blue
175,54,85,126,260,blue
175,52,84,126,263,blue
174,53,85,126,258,blue
174,54,86,126,256,blue
174,54,86,126,256,blue
175,54,86,126,259,blue
175,54,86,127,258,blue
175,52,85,127,261,blue
174,53,85,126,258,blue
174,54,85,126,257,blue
174,54,86,127,255,blue
175,54,85,126,260,blue
175,53,85,126,261,blue
174,53,84,126,259,blue
174,52,85,126,259,blue
174,54,85,126,257,blue
174,54,84,126,258,blue
174,54,85,126,257,blue
174,54,86,126,256,blue
174,54,85,126,257,blue
174,54,86,127,255,blue
175,53,85,127,260,blue
174,53,85,126,258,blue
174,54,85,126,257,blue
174,54,86,126,256,blue
175,53,86,126,260,blue
175,53,85,126,261,blue
174,53,85,126,258,blue
174,53,84,126,259,blue
174,53,85,126,258,blue
174,54,86,126,256,blue
174,54,86,126,256,blue
175,54,86,127,258,blue
175,53,85,126,261,blue
174,54,86,126,256,blue
175,54,85,126,260,blue
174,54,86,127,255,blue
175,53,85,126,261,blue
174,53,84,126,259,blue
173,54,85,126,254,blue
174,54,86,126,256,blue
175,53,85,126,261,blue
174,53,84,126,259,blue
174,54,85,126,257,blue
175,54,86,126,259,blue
175,53,85,126,261,blue
174,53,85,126,258,blue
174,54,86,126,256,blue
175,54,86,126,259,blue
175,53,85,126,261,blue
174,53,85,126,258,blue
173,54,85,126,254,blue
174,54,86,126,256,blue
175,53,85,126,261,blue
174,53,85,126,258,blue
174,54,86,126,256,blue
174,54,85,126,257,blue
174,52,85,126,259,blue
174,53,84,126,259,blue
173,54,85,126,254,blue
174,54,85,126,257,blue
174,52,85,125,260,blue
173,53,85,126,255,blue
174,54,85,126,257,blue
174,54,85,126,257,blue
174,52,85,126,259,blue
173,54,85,126,254,blue
174,54,85,126,257,blue
175,54,85,126,260,blue
175,53,85,126,261,blue
173,53,84,126,256,blue
173,53,85,126,255,blue
174,54,85,126,257,blue
175,53,85,126,261,blue
174,52,84,126,260,blue
173,53,85,126,255,blue
174,54,85,126,257,blue
175,53,84,126,262,blue
173,53,85,126,255,blue
173,54,86,125,254,blue
174,54,85,126,257,blue
175,52,85,126,262,blue
173,53,85,126,255,blue
174,54,86,126,256,blue
174,53,85,126,258,blue
173,52,85,126,256,blue
173,54,85,126,254,blue
174,54,86,125,257,blue
175,54,85,126,260,blue
174,52,85,126,259,blue
173,54,86,126,253,blue
174,54,86,125,257,blue
175,53,85,126,261,blue
173,53,85,126,255,blue
174,53,86,126,257,blue
174,54,86,125,257,blue
175,53,85,126,261,blue
173,53,85,126,255,blue
174,54,85,126,257,blue
175,54,85,126,260,blue
174,53,84,125,260,blue
173,54,85,125,255,blue
174,54,85,126,257,blue
174,52,84,126,260,blue
173,53,86,125,255,blue
174,53,85,126,258,blue
174,52,84,125,261,blue
173,53,84,125,257,blue
174,53,85,126,258,blue
174,52,85,125,260,blue
173,53,84,125,257,blue
173,53,85,125,256,blue
174,53,85,125,259,blue
174,52,84,125,261,blue
172,53,85,125,253,blue
173,53,85,125,256,blue
174,52,84,125,261,blue
173,53,84,125,257,blue
173,53,86,126,254,blue
174,54,85,126,257,blue
174,52,85,125,260,blue
173,53,84,125,257,blue
173,53,86,125,255,blue
174,54,85,125,258,blue
174,52,85,125,260,blue
173,53,84,125,257,blue
173,54,85,125,255,blue
174,54,85,126,257,blue
174,52,85,125,260,blue
173,53,84,125,257,blue
173,54,86,125,254,blue
174,54,85,126,257,blue
174,52,84,125,261,blue
173,53,84,125,257,blue
173,54,86,125,254,blue
174,54,85,126,257,blue
174,52,84,125,261,blue
173,53,84,125,257,blue
173,53,85,125,256,blue
174,53,85,125,259,blue
173,53,84,125,257,blue
173,53,85,125,256,blue
174,53,85,126,258,blue
174,52,84,125,261,blue
173,53,84,125,257,blue
173,53,85,125,256,blue
174,53,85,125,259,blue
173,52,84,125,258,blue
173,53,85,125,256,blue
174,53,84,125,260,blue
173,53,84,125,257,blue
173,53,85,125,256,blue
174,53,85,125,259,blue
174,52,85,125,260,blue
172,53,84,125,254,blue
173,53,85,125,256,blue
174,53,85,125,259,blue
173,52,84,125,258,blue
173,53,85,125,256,blue
174,53,85,125,259,blue
173,52,83,125,259,blue
172,53,84,125,254,blue
173,53,85,125,256,blue
174,52,84,125,261,blue
173,53,84,125,257,blue
172,53,85,125,253,blue
174,53,85,126,258,blue
174,52,85,125,260,blue
172,53,85,125,253,blue
173,53,85,125,256,blue
174,52,84,125,261,blue
172,52,84,125,255,blue
173,53,85,125,256,blue
173,53,85,125,256,blue
174,52,84,124,262,blue
172,53,84,125,254,blue
173,53,85,125,256,blue
174,53,85,125,259,blue
173,52,84,125,258,blue
172,53,84,125,254,blue
173,53,85,125,256,blue
173,52,85,125,257,blue
172,53,84,125,254,blue
173,53,85,125,256,blue
174,52,84,125,261,blue
172,53,84,125,254,blue
173,53,85,125,256,blue
174,52,84,124,262,blue
172,53,84,125,254,blue
173,53,85,125,256,blue
174,52,85,125,260,blue
173,52,83,124,260,blue
172,53,85,125,253,blue
173,53,85,125,256,blue
174,52,84,125,261,blue
172,53,83,125,255,blue
173,53,85,125,256,blue
173,53,85,125,256,blue
173,52,84,125,258,blue
172,53,84,125,254,blue
173,53,85,125,256,blue
173,52,84,125,258,blue
172,53,85,125,253,blue
173,53,85,125,256,blue
174,52,84,125,261,blue
173,52,83,124,260,blue
172,53,85,125,253,blue
174,53,85,125,259,blue
173,52,84,124,259,blue
172,53,83,125,255,blue
173,53,85,125,256,blue
174,53,85,125,259,blue
173,52,84,125,258,blue
172,53,84,125,254,blue
173,53,85,125,256,blue
174,52,84,125,261,blue
172,53,84,125,254,blue
173,53,85,125,256,blue
173,53,85,125,256,blue
173,52,83,124,260,blue
172,53,85,125,253,blue
173,53,84,125,257,blue
173,52,84,125,258,blue
172,53,84,125,254,blue
173,53,85,125,256,blue
174,52,84,125,261,blue
173,53,84,125,257,blue
173,53,85,125,256,blue
174,52,84,125,261,blue
173,52,84,125,258,blue
173,53,85,125,256,blue
173,53,85,125,256,blue
174,52,84,125,261,blue
172,53,84,125,254,blue
