White,Red,Green,Blue,Total,color_label
25,28,30,21,-4,brown
56,44,40,30,54,brown
65,51,46,32,66,brown
70,55,49,34,72,brown
74,57,50,36,79,brown
76,59,52,36,81,brown
77,61,53,36,81,brown
79,61,52,38,86,brown
79,62,54,38,83,brown
80,63,55,38,84,brown
81,63,54,38,88,brown
80,63,55,38,84,brown
81,64,56,39,84,brown
82,64,55,40,87,brown
81,64,56,38,85,brown
82,65,57,38,86,brown
83,65,55,39,90,brown
82,65,57,38,86,brown
83,65,56,40,88,brown
83,65,56,39,89,brown
82,66,57,38,85,brown
83,65,55,39,90,brown
82,65,57,38,86,brown
82,66,56,39,85,brown
82,66,57,39,84,brown
83,65,56,39,89,brown
83,66,57,39,87,brown
83,66,57,39,87,brown
83,66,56,40,87,brown
83,65,57,39,88,brown
82,66,57,39,84,brown
83,65,57,39,88,brown
83,66,56,39,88,brown
82,66,58,38,84,brown
84,66,57,39,90,brown
82,66,57,39,84,brown
83,65,56,39,89,brown
83,66,57,38,88,brown
84,66,56,39,91,brown
82,66,58,38,84,brown
83,66,56,39,88,brown
83,67,57,40,85,brown
83,66,57,39,87,brown
82,66,56,39,85,brown
83,66,58,38,87,brown
83,66,56,40,87,brown
82,66,57,38,85,brown
83,66,56,40,87,brown
82,66,58,38,84,brown
84,66,56,39,91,brown
82,66,58,38,84,brown
84,66,56,40,90,brown
82,66,57,38,85,brown
84,66,57,39,90,brown
82,66,58,39,83,brown
83,66,57,39,87,brown
82,66,56,40,84,brown
83,65,57,39,88,brown
82,66,56,39,85,brown
83,66,57,39,87,brown
82,66,56,39,85,brown
83,67,57,38,87,brown
84,66,56,39,91,brown
83,66,56,39,88,brown
83,67,57,40,85,brown
82,66,58,38,84,brown
84,65,57,39,91,brown
82,66,56,39,85,brown
82,66,57,40,83,brown
83,65,57,38,89,brown
84,66,56,39,91,brown
82,66,56,39,85,brown
83,65,57,38,89,brown
84,66,56,39,91,brown
83,67,57,40,85,brown
82,66,57,38,85,brown
84,66,56,39,91,brown
82,67,57,40,82,brown
82,66,57,38,85,brown
84,66,56,39,91,brown
83,66,57,39,87,brown
82,65,57,39,85,brown
82,66,56,39,85,brown
83,66,57,39,87,brown
83,66,56,39,88,brown
82,66,56,39,85,brown
82,66,57,38,85,brown
84,66,56,39,91,brown
83,66,56,39,88,brown
83,65,57,38,89,brown
82,66,56,40,84,brown
82,66,57,39,84,brown
82,66,56,39,85,brown
82,66,57,37,86,brown
84,65,55,39,93,brown
82,66,56,39,85,brown
82,66,58,38,84,brown
83,65,56,38,90,brown
82,66,56,39,85,brown
82,65,57,37,87,brown
84,65,56,38,93,brown
82,65,57,38,86,brown
83,66,56,38,89,brown
83,66,55,39,89,brown
82,65,57,38,86,brown
83,65,57,38,89,brown
82,66,56,39,85,brown
82,66,57,38,85,brown
83,65,55,38,91,brown
82,66,55,39,86,brown
82,65,57,38,86,brown
84,65,56,38,93,brown
83,66,57,39,87,brown
82,66,56,38,86,brown
82,65,56,39,86,brown
82,66,55,39,86,brown
82,66,57,37,86,brown
84,65,56,38,93,brown
82,66,57,38,85,brown
83,66,56,38,89,brown
82,65,56,38,87,brown
82,66,57,38,85,brown
82,65,57,38,86,brown
83,66,56,38,89,brown
83,66,56,39,88,brown
82,66,57,38,85,brown
84,65,56,38,93,brown
82,66,57,39,84,brown
83,65,56,39,89,brown
82,66,55,39,86,brown
82,66,56,38,86,brown
83,65,56,38,90,brown
82,66,57,38,85,brown
84,66,56,38,92,brown
82,66,57,39,84,brown
83,65,56,38,90,brown
82,66,56,38,86,brown
82,66,57,38,85,brown
84,65,56,38,93,brown
82,66,55,40,85,brown
82,65,57,38,86,brown
83,66,56,38,89,brown
82,66,57,38,85,brown
83,65,56,38,90,brown
84,65,55,38,94,brown
82,66,56,39,85,brown
82,66,57,39,84,brown
82,66,56,38,86,brown
82,66,55,39,86,brown
82,66,57,37,86,brown
84,65,56,38,93,brown
81,66,55,39,83,brown
82,65,57,37,87,brown
84,65,56,38,93,brown
82,66,57,39,84,brown
82,66,57,39,84,brown
82,65,57,38,86,brown
83,65,55,38,91,brown
82,66,55,38,87,brown
82,66,57,39,84,brown
82,65,57,38,86,brown
82,65,57,37,87,brown
83,65,56,38,90,brown
82,66,55,39,86,brown
82,65,56,38,87,brown
82,66,56,38,86,brown
82,66,57,37,86,brown
83,65,56,38,90,brown
82,66,55,38,87,brown
82,66,56,39,85,brown
81,65,57,38,83,brown
82,65,57,38,86,brown
82,66,56,38,86,brown
83,66,55,39,89,brown
82,65,57,37,87,brown
84,65,56,38,93,brown
83,65,55,39,90,brown
82,66,57,39,84,brown
83,65,56,38,90,brown
82,66,55,39,86,brown
82,66,57,39,84,brown
82,65,56,38,87,brown
82,66,55,38,87,brown
82,66,56,39,85,brown
82,65,56,38,87,brown
84,65,56,38,93,brown
82,65,57,38,86,brown
82,65,56,38,87,brown
83,65,56,39,89,brown
82,65,57,38,86,brown
82,65,56,38,87,brown
82,66,55,38,87,brown
82,66,56,39,85,brown
82,65,56,37,88,brown
83,65,56,38,90,brown
81,66,55,39,83,brown
82,65,56,38,87,brown
83,65,56,38,90,brown
82,66,56,39,85,brown
82,65,57,37,87,brown
83,65,55,38,91,brown
82,66,56,39,85,brown
82,66,57,39,84,brown
83,65,56,38,90,brown
83,65,55,38,91,brown
82,66,57,38,85,brown
82,65,56,38,87,brown
81,65,56,39,83,brown
82,65,56,37,88,brown
83,65,56,38,90,brown
81,65,55,38,85,brown
82,66,55,38,87,brown
82,66,57,38,85,brown
82,65,56,38,87,brown
82,65,56,39,86,brown
82,65,57,38,86,brown
82,65,56,37,88,brown
83,65,55,39,90,brown
82,66,57,39,84,brown
81,65,57,37,84,brown
84,65,55,38,94,brown
81,65,55,38,85,brown
82,65,56,37,88,brown
83,65,56,38,90,brown
82,66,56,39,85,brown
82,65,56,38,87,brown
83,65,55,39,90,brown
82,65,57,38,86,brown
82,65,57,37,87,brown
82,65,55,38,88,brown
82,66,57,39,84,brown
81,65,57,38,83,brown
83,65,55,38,91,brown
82,66,56,39,85,brown
82,65,57,37,87,brown
83,65,56,38,90,brown
81,66,56,39,82,brown
82,65,56,37,88,brown
83,65,56,38,90,brown
82,66,55,38,87,brown
82,66,56,39,85,brown
83,65,56,38,90,brown
81,65,55,38,85,brown
82,66,57,38,85,brown
82,65,56,37,88,brown
83,65,56,38,90,brown
82,66,56,39,85,brown
81,65,57,39,82,brown
82,65,56,38,87,brown
81,65,55,38,85,brown
82,66,55,39,86,brown
82,65,56,37,88,brown
83,65,56,38,90,brown
82,66,56,39,85,brown
81,65,57,38,83,brown
82,65,56,38,87,brown
81,65,55,38,85,brown
82,66,55,38,87,brown
82,65,57,38,86,brown
82,65,56,37,88,brown
83,65,55,38,91,brown
82,66,56,39,85,brown
81,65,57,38,83,brown
83,65,56,38,90,brown
82,66,55,38,87,brown
82,65,56,38,87,brown
83,64,55,38,92,brown
81,66,55,39,83,brown
81,65,57,38,83,brown
82,65,56,37,88,brown
82,65,55,38,88,brown
82,66,56,38,86,brown
82,65,55,38,88,brown
82,66,55,39,86,brown
82,65,57,37,87,brown
83,65,56,38,90,brown
83,65,55,38,91,brown
82,64,55,38,89,brown
82,66,55,38,87,brown
82,66,56,39,85,brown
81,65,56,38,84,brown
82,65,55,38,88,brown
82,65,57,38,86,brown
82,64,57,37,88,brown
83,65,55,38,91,brown
82,66,56,39,85,brown
81,65,57,37,84,brown
82,65,55,38,88,brown
82,66,56,39,85,brown
82,65,56,38,87,brown
81,65,55,39,84,brown
81,65,57,37,84,brown
83,65,55,38,91,brown
82,65,55,38,88,brown
82,65,57,37,87,brown
83,65,56,38,90,brown
83,65,55,38,91,brown
82,66,56,39,85,brown
81,65,56,37,85,brown
83,65,56,38,90,brown
81,66,55,39,83,brown
82,65,56,37,88,brown
83,65,56,38,90,brown
81,65,55,39,84,brown
81,65,56,37,85,brown
83,64,56,37,92,brown
81,66,55,39,83,brown
81,65,57,38,83,brown
82,64,56,38,88,brown
82,65,55,38,88,brown
81,65,55,38,85,brown
81,65,57,37,84,brown
83,65,55,38,91,brown
82,65,55,38,88,brown
82,65,57,37,87,brown
83,65,55,38,91,brown
81,65,55,39,84,brown
82,66,56,38,86,brown
83,65,56,38,90,brown
