White,Red,Green,Blue,Total,color_label
25,29,29,24,-7,brown
57,46,40,30,55,brown
68,53,46,33,72,brown
72,57,48,36,75,brown
76,59,49,36,84,brown
81,64,54,39,86,brown
83,67,54,40,88,brown
86,67,55,41,95,brown
87,69,57,41,94,brown
88,70,57,42,95,brown
89,70,58,41,98,brown
90,72,58,43,97,brown
91,72,60,42,99,brown
91,73,58,42,100,brown
90,72,60,41,97,brown
92,73,59,41,103,brown
87,69,55,40,97,brown
87,69,57,40,95,brown
88,70,56,41,97,brown
88,71,57,41,95,brown
89,70,57,40,100,brown
88,70,58,40,96,brown
89,70,56,41,100,brown
88,71,58,41,94,brown
89,70,57,41,99,brown
88,70,58,40,96,brown
89,70,57,41,99,brown
88,71,58,40,95,brown
90,70,58,41,101,brown
89,71,58,40,98,brown
90,70,57,41,102,brown
88,71,58,41,94,brown
89,71,57,41,98,brown
88,71,58,41,94,brown
89,70,57,41,99,brown
89,71,59,40,97,brown
90,71,57,41,101,brown
90,71,58,41,100,brown
89,71,57,42,97,brown
90,70,58,41,101,brown
89,71,57,42,97,brown
88,70,58,41,95,brown
89,71,57,41,98,brown
89,72,57,41,97,brown
89,71,58,41,97,brown
89,71,57,41,98,brown
89,72,57,42,96,brown
89,71,59,40,97,brown
90,71,58,41,100,brown
89,71,59,40,97,brown
90,71,58,41,100,brown
89,72,58,41,96,brown
90,70,58,41,101,brown
89,72,57,42,96,brown
89,70,58,41,98,brown
89,71,58,41,97,brown
89,72,58,42,95,brown
89,71,59,40,97,brown
90,70,58,41,101,brown
89,71,59,40,97,brown
90,71,58,41,100,brown
89,72,58,42,95,brown
89,70,59,40,98,brown
90,71,58,41,100,brown
89,72,58,42,95,brown
89,70,59,40,98,brown
91,70,58,41,104,brown
89,71,59,41,96,brown
89,71,58,40,98,brown
89,71,57,41,98,brown
89,72,58,42,95,brown
89,71,59,41,96,brown
90,71,58,41,100,brown
89,72,58,42,95,brown
90,71,58,41,100,brown
89,72,57,42,96,brown
89,71,59,40,97,brown
90,70,57,41,102,brown
89,71,59,40,97,brown
91,71,58,41,103,brown
89,72,57,42,96,brown
89,71,59,40,97,brown
90,70,58,40,102,brown
89,72,57,42,96,brown
89,71,59,40,97,brown
90,71,58,41,100,brown
89,71,58,40,98,brown
91,71,58,41,103,brown
89,72,58,42,95,brown
89,71,59,40,97,brown
90,70,58,41,101,brown
89,72,57,42,96,brown
89,71,59,42,95,brown
89,71,59,41,96,brown
89,71,58,41,97,brown
89,71,58,41,97,brown
89,71,59,40,97,brown
91,71,58,41,103,brown
89,72,58,42,95,brown
89,71,59,41,96,brown
90,71,59,40,100,brown
89,72,58,42,95,brown
89,71,59,40,97,brown
90,70,57,41,102,brown
89,71,59,42,95,brown
90,70,58,40,102,brown
89,72,57,41,97,brown
89,72,58,42,95,brown
89,71,58,40,98,brown
91,71,58,41,103,brown
89,72,57,41,97,brown
89,71,59,40,97,brown
90,71,58,41,100,brown
89,72,58,42,95,brown
89,71,58,42,96,brown
89,71,59,40,97,brown
90,71,57,41,101,brown
89,72,58,42,95,brown
89,70,58,41,98,brown
89,71,58,41,97,brown
89,72,57,42,96,brown
89,71,59,40,97,brown
91,70,58,40,105,brown
89,72,57,42,96,brown
89,72,58,42,95,brown
89,71,59,40,97,brown
90,70,58,41,101,brown
89,71,57,41,98,brown
89,71,59,40,97,brown
91,70,58,41,104,brown
89,72,58,42,95,brown
89,71,59,40,97,brown
90,70,58,40,102,brown
89,72,57,41,97,brown
89,72,57,42,96,brown
89,71,59,40,97,brown
90,71,58,41,100,brown
88,71,58,41,94,brown
89,72,57,42,96,brown
89,72,58,42,95,brown
89,71,59,40,97,brown
90,71,58,41,100,brown
89,72,57,42,96,brown
89,70,58,41,98,brown
90,71,58,41,100,brown
89,72,58,42,95,brown
89,71,59,40,97,brown
90,71,57,41,101,brown
89,72,57,41,97,brown
89,72,57,41,97,brown
89,72,58,42,95,brown
89,71,59,41,96,brown
90,71,59,40,100,brown
89,72,57,42,96,brown
89,71,59,40,97,brown
90,70,58,41,101,brown
89,72,58,42,95,brown
89,71,59,42,95,brown
91,70,58,41,104,brown
89,72,57,41,97,brown
89,72,59,42,94,brown
89,71,59,40,97,brown
91,71,58,41,103,brown
89,71,59,42,95,brown
89,70,58,41,98,brown
89,71,57,42,97,brown
89,72,59,42,94,brown
90,71,59,40,100,brown
89,72,57,41,97,brown
89,72,57,42,96,brown
89,71,58,41,97,brown
89,71,58,41,97,brown
88,72,57,42,93,brown
89,71,59,41,96,brown
90,70,58,40,102,brown
89,72,58,42,95,brown
89,71,59,41,96,brown
90,70,57,41,102,brown
89,72,59,42,94,brown
89,71,59,40,97,brown
90,71,58,41,100,brown
89,71,59,42,95,brown
90,71,58,41,100,brown
89,72,58,42,95,brown
89,71,59,40,97,brown
90,70,58,41,101,brown
89,72,57,41,97,brown
89,71,59,40,97,brown
91,70,58,41,104,brown
89,72,58,42,95,brown
89,71,59,41,96,brown
91,71,58,41,103,brown
89,71,57,42,97,brown
89,71,59,41,96,brown
90,71,58,41,100,brown
89,72,57,42,96,brown
