White,Red,Green,Blue,Total,color_label
111,73,117,99,44,green
199,106,142,111,238,green
219,115,150,116,276,green
226,122,153,118,285,green
229,124,156,119,288,green
231,127,157,120,289,green
232,128,159,120,289,green
234,129,159,121,293,green
234,130,159,121,292,green
234,130,160,121,291,green
235,131,160,121,293,green
236,132,160,121,295,green
235,131,160,122,292,green
236,130,161,122,295,green
236,132,161,121,294,green
236,132,161,122,293,green
237,132,161,121,297,green
236,132,161,122,293,green
237,132,161,121,297,green
236,132,161,122,293,green
237,133,160,121,297,green
236,131,161,122,294,green
237,133,160,122,296,green
237,132,161,122,296,green
236,133,161,122,292,green
237,133,161,121,296,green
236,132,160,122,294,green
236,131,161,122,294,green
236,133,160,122,293,green
237,133,161,121,296,green
237,132,161,122,296,green
236,133,161,121,293,green
236,131,161,122,294,green
237,133,160,122,296,green
236,132,161,122,293,green
236,133,160,122,293,green
236,132,162,122,292,green
236,133,160,122,293,green
237,133,161,121,296,green
236,132,161,122,293,green
236,133,161,122,292,green
237,132,161,122,296,green
237,133,160,122,296,green
236,131,161,122,294,green
236,133,160,121,294,green
237,133,161,121,296,green
237,131,160,122,298,green
237,132,161,121,297,green
236,132,161,122,293,green
236,133,160,122,293,green
236,131,161,121,295,green
236,133,160,122,293,green
236,131,161,122,294,green
236,133,160,121,294,green
237,133,160,121,297,green
236,132,161,122,293,green
237,133,161,121,296,green
236,132,161,121,294,green
236,133,160,122,293,green
237,133,161,121,296,green
236,132,161,121,294,green
237,133,161,121,296,green
236,132,161,122,293,green
237,133,161,121,296,green
236,131,161,121,295,green
237,133,160,122,296,green
237,132,161,122,296,green
237,133,160,122,296,green
236,131,161,121,295,green
236,133,160,121,294,green
236,131,161,122,294,green
236,132,161,122,293,green
237,133,160,122,296,green
236,132,161,121,294,green
236,131,160,121,296,green
237,133,160,122,296,green
236,131,161,121,295,green
236,132,161,121,294,green
237,133,160,122,296,green
236,132,161,122,293,green
236,133,159,121,295,green
236,132,161,121,294,green
236,131,161,121,295,green
237,132,160,121,298,green
236,131,161,121,295,green
235,133,160,121,291,green
237,133,159,122,297,green
236,132,161,121,294,green
236,131,160,121,296,green
236,132,160,122,294,green
236,131,161,121,295,green
235,132,160,121,292,green
236,133,160,121,294,green
236,131,160,120,297,green
236,131,160,122,295,green
236,132,161,121,294,green
236,131,160,121,296,green
235,132,160,121,292,green
237,133,160,122,296,green
236,132,160,120,296,green
236,131,160,121,296,green
237,132,160,121,298,green
236,131,160,121,296,green
235,133,160,121,291,green
237,133,160,121,297,green
236,132,160,121,295,green
236,133,159,121,295,green
236,132,160,120,296,green
236,131,160,121,296,green
235,133,160,120,292,green
236,131,161,121,295,green
237,133,160,122,296,green
236,131,161,121,295,green
236,133,160,121,294,green
237,132,161,121,297,green
236,131,161,121,295,green
236,132,160,121,295,green
237,133,160,122,296,green
236,131,160,121,296,green
236,131,160,121,296,green
237,133,160,122,296,green
236,130,160,121,297,green
236,132,159,121,296,green
237,132,161,121,297,green
236,131,160,121,296,green
237,133,159,122,297,green
236,131,160,120,297,green
236,131,160,121,296,green
236,133,160,122,293,green
236,132,161,121,294,green
235,132,160,121,292,green
237,132,160,121,298,green
236,131,160,121,296,green
236,132,160,121,295,green
237,132,161,120,298,green
236,131,160,121,296,green
236,132,160,121,295,green
237,133,159,121,298,green
236,132,160,120,296,green
236,131,160,121,296,green
236,132,160,121,295,green
236,131,160,120,297,green
236,131,160,121,296,green
235,133,159,121,292,green
237,133,160,121,297,green
236,132,160,121,295,green
237,133,159,121,298,green
236,132,160,120,296,green
236,131,160,121,296,green
236,132,161,121,294,green
236,132,160,120,296,green
236,132,160,121,295,green
237,132,160,121,298,green
236,131,160,121,296,green
236,131,159,122,296,green
236,131,160,120,297,green
236,131,161,121,295,green
235,133,159,121,292,green
236,133,159,121,295,green
236,131,160,121,296,green
237,133,159,122,297,green
236,131,160,121,296,green
236,132,160,121,295,green
236,133,159,122,294,green
236,132,161,121,294,green
235,132,160,121,292,green
237,132,160,121,298,green
236,131,160,121,296,green
236,131,160,121,296,green
236,133,160,120,295,green
236,131,160,121,296,green
235,132,160,121,292,green
237,132,160,121,298,green
236,131,160,121,296,green
236,132,160,122,294,green
236,131,160,121,296,green
236,131,160,121,296,green
236,133,159,121,295,green
236,131,160,121,296,green
236,132,159,121,296,green
236,131,160,121,296,green
235,132,159,121,293,green
236,132,160,121,295,green
236,133,160,121,294,green
236,131,160,121,296,green
236,132,160,121,295,green
236,133,159,121,295,green
236,131,159,121,297,green
237,133,159,121,298,green
236,131,160,121,296,green
236,131,160,121,296,green
235,132,160,121,292,green
237,133,160,120,298,green
235,131,160,121,293,green
235,132,159,121,293,green
236,132,159,121,296,green
236,130,160,121,297,green
236,132,160,122,294,green
236,132,159,121,296,green
236,131,160,120,297,green
236,131,160,121,296,green
235,133,159,121,292,green
236,132,160,121,295,green
236,131,160,121,296,green
236,133,159,121,295,green
236,132,160,120,296,green
236,131,160,121,296,green
235,132,159,121,293,green
235,131,160,121,293,green
235,132,159,121,293,green
236,132,160,121,295,green
