White,Red,Green,Blue,Total,color_label
60,30,72,61,17,green
122,50,92,71,153,green
139,57,99,77,184,green
144,61,102,79,190,green
147,63,105,80,193,green
149,65,105,81,196,green
150,66,107,82,195,green
151,67,108,82,196,green
152,67,108,82,199,green
152,68,108,82,198,green
153,68,109,82,200,green
154,68,109,82,203,green
153,68,110,82,199,green
153,68,110,82,199,green
153,69,110,83,197,green
155,69,110,83,203,green
154,69,110,83,200,green
154,69,111,83,199,green
154,69,111,83,199,green
154,69,111,82,200,green
155,70,110,83,202,green
155,69,111,83,202,green
155,70,111,83,201,green
154,69,111,82,200,green
154,70,111,83,198,green
155,70,111,83,201,green
155,69,111,83,202,green
154,69,111,83,199,green
154,69,111,83,199,green
154,69,111,84,198,green
155,70,110,84,201,green
155,70,111,83,201,green
155,70,111,83,201,green
155,70,111,83,201,green
155,69,111,83,202,green
155,70,110,83,202,green
155,70,111,84,200,green
155,70,110,84,201,green
155,70,112,83,200,green
154,69,111,82,200,green
155,69,112,83,201,green
155,70,110,84,201,green
155,70,110,84,201,green
155,70,111,83,201,green
155,70,111,83,201,green
154,70,111,83,198,green
155,70,111,83,201,green
155,70,111,83,201,green
155,70,111,83,201,green
156,70,111,83,204,green
155,70,111,83,201,green
154,69,112,82,199,green
155,70,111,84,200,green
156,70,111,83,204,green
156,70,111,83,204,green
154,69,111,83,199,green
155,70,111,84,200,green
155,70,111,83,201,green
155,70,111,83,201,green
155,69,111,83,202,green
155,69,111,82,203,green
155,70,111,84,200,green
155,70,110,84,201,green
155,70,111,83,201,green
156,70,111,83,204,green
155,69,111,83,202,green
155,70,111,82,202,green
155,70,111,83,201,green
155,70,111,83,201,green
155,69,111,83,202,green
154,70,111,82,199,green
155,71,111,84,199,green
155,71,111,83,200,green
155,70,111,83,201,green
155,69,111,83,202,green
154,70,111,83,198,green
155,71,110,84,200,green
155,69,111,83,202,green
155,70,111,83,201,green
154,70,111,82,199,green
155,70,110,84,201,green
155,70,111,83,201,green
155,70,111,83,201,green
155,71,111,84,199,green
155,70,111,84,200,green
155,70,111,83,201,green
156,70,111,83,204,green
154,69,111,82,200,green
155,70,111,83,201,green
155,71,110,84,200,green
155,70,111,83,201,green
155,70,111,83,201,green
155,69,111,82,203,green
155,70,110,84,201,green
155,70,110,84,201,green
155,70,111,83,201,green
155,69,111,83,202,green
155,70,111,84,200,green
155,70,110,84,201,green
156,70,111,83,204,green
155,69,111,82,203,green
155,70,111,84,200,green
155,70,111,83,201,green
155,69,111,83,202,green
155,69,111,83,202,green
155,71,110,83,201,green
155,70,110,83,202,green
155,69,111,83,202,green
154,69,111,83,199,green
155,70,110,83,202,green
155,70,110,83,202,green
156,70,111,83,204,green
155,69,111,83,202,green
154,70,110,84,198,green
155,70,111,83,201,green
155,70,111,83,201,green
154,70,111,82,199,green
155,70,111,84,200,green
155,70,112,84,199,green
154,69,110,83,200,green
155,70,110,84,201,green
155,70,111,83,201,green
155,69,111,83,202,green
154,70,111,84,197,green
155,70,111,84,200,green
155,70,110,83,202,green
156,70,111,83,204,green
155,69,111,83,202,green
155,70,111,84,200,green
154,70,111,83,198,green
156,69,111,83,205,green
154,70,110,84,198,green
155,70,111,84,200,green
155,70,111,83,201,green
156,70,111,83,204,green
154,69,111,83,199,green
155,70,110,84,201,green
154,70,111,83,198,green
156,70,111,83,204,green
154,70,110,83,199,green
155,70,110,83,202,green
155,70,110,83,202,green
155,70,111,83,201,green
154,69,111,82,200,green
155,70,110,84,201,green
155,70,110,83,202,green
156,69,111,83,205,green
154,69,111,82,200,green
155,70,111,84,200,green
155,70,111,83,201,green
156,70,111,83,204,green
154,69,111,83,199,green
155,70,111,84,200,green
155,70,111,83,201,green
155,69,111,83,202,green
154,70,111,83,198,green
155,70,111,84,200,green
154,70,111,83,198,green
155,70,111,83,201,green
154,69,111,83,199,green
154,69,111,82,200,green
155,70,110,84,201,green
155,70,111,83,201,green
155,70,111,83,201,green
154,69,111,83,199,green
155,71,110,83,201,green
156,70,111,83,204,green
154,69,111,82,200,green
154,69,111,83,199,green
155,71,110,84,200,green
155,70,111,83,201,green
154,69,111,82,200,green
154,69,112,83,198,green
155,70,110,83,202,green
154,70,111,83,198,green
155,69,111,83,202,green
155,69,111,83,202,green
154,70,110,83,199,green
155,70,110,83,202,green
156,70,111,83,204,green
155,70,111,83,201,green
154,69,111,83,199,green
155,70,110,84,201,green
155,70,110,84,201,green
156,69,111,83,205,green
154,70,111,83,198,green
155,70,110,83,202,green
155,70,110,83,202,green
155,70,111,83,201,green
154,69,111,82,200,green
155,69,111,83,202,green
155,70,111,84,200,green
154,70,110,84,198,green
156,70,111,83,204,green
154,69,111,82,200,green
155,70,110,84,201,green
155,70,111,83,201,green
155,69,111,82,203,green
154,70,111,83,198,green
155,71,111,84,199,green
155,70,111,83,201,green
155,70,111,83,201,green
154,69,111,82,200,green
155,70,110,83,202,green
155,70,111,83,201,green
155,69,111,83,202,green
154,70,111,82,199,green
