White,Red,Green,Blue,Total,color_label
68,54,63,67,20,grey
131,79,82,80,152,grey
150,87,89,84,190,grey
156,93,92,87,196,grey
160,95,95,88,202,grey
161,98,96,90,199,grey
164,98,97,90,207,grey
164,101,98,90,203,grey
166,100,98,90,210,grey
166,101,98,90,209,grey
166,103,99,91,205,grey
167,102,99,90,210,grey
167,104,99,91,207,grey
167,104,100,91,206,grey
168,103,100,90,211,grey
167,103,100,91,207,grey
168,105,100,91,208,grey
167,104,100,91,206,grey
168,103,100,90,211,grey
168,104,101,91,208,grey
168,105,100,91,208,grey
167,104,101,91,205,grey
168,104,101,91,208,grey
168,105,100,91,208,grey
168,105,101,91,207,grey
168,103,100,90,211,grey
167,105,100,91,205,grey
167,105,101,91,204,grey
168,103,101,90,210,grey
168,105,101,91,207,grey
167,105,101,91,204,grey
168,104,100,91,209,grey
168,105,100,91,208,grey
167,105,101,91,204,grey
168,104,101,91,208,grey
168,105,100,91,208,grey
167,104,101,91,205,grey
168,104,101,91,208,grey
168,105,100,91,208,grey
167,105,101,91,204,grey
168,104,101,91,208,grey
168,106,100,91,207,grey
168,104,100,90,210,grey
168,104,101,91,208,grey
168,105,100,91,208,grey
168,104,100,90,210,grey
167,105,100,91,205,grey
168,105,100,91,208,grey
168,103,100,91,210,grey
168,105,100,91,208,grey
167,104,101,91,205,grey
168,104,100,90,210,grey
167,105,100,91,205,grey
168,104,100,90,210,grey
168,103,100,90,211,grey
168,105,100,90,209,grey
168,103,100,90,211,grey
167,105,99,90,207,grey
167,103,100,90,208,grey
167,104,100,91,206,grey
167,105,100,90,206,grey
167,103,100,90,208,grey
167,105,100,90,206,grey
167,103,100,90,208,grey
167,105,100,90,206,grey
168,103,99,90,212,grey
167,105,100,90,206,grey
167,103,99,90,209,grey
167,105,100,90,206,grey
167,103,99,89,210,grey
167,104,100,90,207,grey
167,103,99,89,210,grey
167,105,100,90,206,grey
167,102,100,90,209,grey
167,105,100,90,206,grey
167,103,100,90,208,grey
167,105,100,90,206,grey
167,103,100,90,208,grey
166,105,100,90,203,grey
167,103,100,90,208,grey
167,104,100,90,207,grey
166,103,100,90,205,grey
167,104,100,89,208,grey
167,104,99,90,208,grey
167,103,99,89,210,grey
167,104,99,90,208,grey
167,103,100,90,208,grey
166,104,99,90,205,grey
167,102,100,90,209,grey
166,104,99,90,205,grey
167,103,100,90,208,grey
166,104,99,90,205,grey
167,102,100,90,209,grey
166,104,98,90,206,grey
167,103,99,90,209,grey
166,103,99,90,206,grey
166,104,98,90,206,grey
167,103,100,89,209,grey
167,105,99,90,207,grey
166,104,100,90,204,grey
166,103,99,89,207,grey
166,104,99,90,205,grey
166,103,99,90,206,grey
167,102,99,89,211,grey
166,104,99,89,206,grey
167,104,99,89,209,grey
166,104,99,89,206,grey
167,103,99,90,209,grey
166,104,99,89,206,grey
166,104,99,89,206,grey
166,103,99,89,207,grey
166,104,99,90,205,grey
166,103,100,90,205,grey
166,104,100,90,204,grey
167,103,99,89,210,grey
166,104,99,90,205,grey
166,102,99,89,208,grey
166,103,99,89,207,grey
166,104,98,90,206,grey
167,103,99,90,209,grey
166,103,99,89,207,grey
166,104,98,89,207,grey
166,103,100,89,206,grey
166,104,98,89,207,grey
166,103,99,89,207,grey
166,104,99,89,206,grey
166,104,99,89,206,grey
166,103,99,90,206,grey
166,103,99,89,207,grey
165,104,98,89,204,grey
166,103,99,89,207,grey
167,103,99,89,210,grey
166,103,99,89,207,grey
166,104,99,89,206,grey
166,102,99,90,207,grey
166,104,100,89,205,grey
166,104,98,89,207,grey
166,103,99,89,207,grey
166,104,100,89,205,grey
166,103,99,90,206,grey
167,102,99,89,211,grey
165,103,99,89,204,grey
166,104,99,89,206,grey
166,103,99,90,206,grey
166,102,99,89,208,grey
165,103,99,89,204,grey
166,104,99,89,206,grey
166,104,99,89,206,grey
166,103,98,89,208,grey
166,102,99,90,207,grey
165,104,99,89,203,grey
166,104,98,89,207,grey
166,103,99,89,207,grey
166,103,99,89,207,grey
166,103,99,89,207,grey
166,103,98,89,208,grey
166,102,99,88,209,grey
166,104,99,89,206,grey
165,104,98,89,204,grey
166,102,99,89,208,grey
166,102,99,90,207,grey
166,102,99,89,208,grey
166,104,99,89,206,grey
166,104,98,89,207,grey
166,103,98,89,208,grey
166,102,99,89,208,grey
166,103,99,88,208,grey
166,103,98,89,208,grey
165,103,98,89,205,grey
166,102,99,90,207,grey
166,102,99,89,208,grey
166,102,98,89,209,grey
166,104,99,89,206,grey
166,104,99,89,206,grey
166,102,99,89,208,grey
166,101,99,90,208,grey
166,104,99,89,206,grey
166,103,99,89,207,grey
166,102,98,88,210,grey
166,104,99,89,206,grey
166,104,98,89,207,grey
166,102,99,89,208,grey
165,102,98,89,206,grey
166,104,99,89,206,grey
165,103,98,89,205,grey
166,102,99,89,208,grey
165,103,99,88,205,grey
166,104,99,89,206,grey
166,104,98,89,207,grey
165,103,98,89,205,grey
166,103,98,89,208,grey
166,101,99,89,209,grey
165,103,99,88,205,grey
166,104,98,89,207,grey
166,102,98,89,209,grey
166,102,98,88,210,grey
166,103,99,89,207,grey
166,104,99,89,206,grey
166,103,98,89,208,grey
166,102,98,89,209,grey
165,102,98,88,207,grey
165,103,99,88,205,grey
166,104,98,89,207,grey
166,101,99,89,209,grey
165,103,98,89,205,grey
165,103,98,89,205,grey
165,102,99,88,206,grey
166,104,99,89,206,grey
166,103,98,89,208,grey
166,103,98,89,208,grey
166,102,99,89,208,grey
166,102,98,89,209,grey
165,103,99,88,205,grey
165,103,98,89,205,grey
166,102,98,89,209,grey
166,102,98,88,210,grey
165,103,99,89,204,grey
165,102,99,89,205,grey
165,101,98,89,207,grey
165,103,98,89,205,grey
165,102,98,89,206,grey
166,101,98,88,211,grey
166,103,98,89,208,grey
165,103,98,89,205,grey
166,102,99,89,208,grey
165,101,98,89,207,grey
165,102,98,88,207,grey
165,103,99,89,204,grey
166,102,99,89,208,grey
165,102,98,88,207,grey
165,103,98,89,205,grey
165,103,97,88,207,grey
165,102,99,89,205,grey
165,103,99,88,205,grey
165,103,99,89,204,grey
165,102,98,89,206,grey
166,102,99,89,208,grey
165,102,98,88,207,grey
165,103,99,89,204,grey
165,103,98,88,206,grey
166,102,98,89,209,grey
165,102,98,88,207,grey
165,103,99,89,204,grey
165,103,98,89,205,grey
166,101,98,89,210,grey
165,102,98,89,206,grey
165,103,98,88,206,grey
166,101,98,88,211,grey
166,103,99,89,207,grey
165,103,98,89,205,grey
165,102,99,89,205,grey
165,102,98,88,207,grey
165,103,97,88,207,grey
166,102,98,89,209,grey
165,101,99,88,207,grey
165,102,98,88,207,grey
165,103,98,89,205,grey
165,102,98,89,206,grey
165,102,98,88,207,grey
165,103,99,88,205,grey
165,103,98,89,205,grey
166,101,98,89,210,grey
165,102,98,88,207,grey
165,103,98,88,206,grey
165,102,97,89,207,grey
165,102,98,88,207,grey
166,103,99,88,208,grey
165,104,98,88,205,grey
164,103,97,88,204,grey
166,102,98,88,210,grey
165,102,98,88,207,grey
165,103,97,88,207,grey
165,101,98,89,207,grey
165,101,98,87,209,grey
165,103,98,88,206,grey
165,103,99,89,204,grey
165,102,98,88,207,grey
165,103,99,88,205,grey
165,103,98,88,206,grey
165,102,97,89,207,grey
165,101,98,89,207,grey
165,101,98,88,208,grey
165,103,97,89,206,grey
165,102,98,89,206,grey
164,103,98,89,202,grey
164,103,98,88,203,grey
165,102,98,88,207,grey
165,103,99,88,205,grey
165,102,98,89,206,grey
165,101,98,89,207,grey
165,102,98,88,207,grey
165,102,98,89,206,grey
165,101,98,88,208,grey
165,103,99,88,205,grey
165,103,98,89,205,grey
165,101,98,89,207,grey
165,101,98,87,209,grey
165,103,98,88,206,grey
164,103,97,88,204,grey
165,101,98,89,207,grey
165,101,98,89,207,grey
164,103,98,88,203,grey
164,102,97,88,205,grey
165,101,98,88,208,grey
165,103,98,88,206,grey
165,103,98,88,206,grey
165,102,98,89,206,grey
165,101,98,88,208,grey
165,103,98,88,206,grey
165,103,98,88,206,grey
165,102,97,88,208,grey
165,102,98,88,207,grey
165,101,98,89,207,grey
165,101,97,88,209,grey
165,103,97,88,207,grey
164,103,97,88,204,grey
165,101,98,88,208,grey
164,102,98,88,204,grey
165,102,97,88,208,grey
165,102,97,88,208,grey
165,102,98,88,207,grey
164,102,98,88,204,grey
165,103,98,88,206,grey
164,102,97,88,205,grey
165,100,98,89,208,grey
165,101,97,87,210,grey
165,103,99,88,205,grey
164,102,97,88,205,grey
165,101,98,89,207,grey
165,101,98,88,208,grey
165,103,98,88,206,grey
165,103,97,88,207,grey
165,101,98,89,207,grey
164,101,97,87,207,grey
165,103,98,88,206,grey
165,103,98,88,206,grey
164,103,97,88,204,grey
165,101,98,88,208,grey
164,101,98,88,205,grey
164,102,97,87,206,grey
165,103,97,88,207,grey
164,102,98,88,204,grey
165,101,98,88,208,grey
164,103,97,88,204,grey
164,102,98,89,203,grey
164,101,98,88,205,grey
164,102,98,87,205,grey
165,103,98,88,206,grey
164,103,98,88,203,grey
164,103,98,88,203,grey
164,102,97,88,205,grey
165,102,98,88,207,grey
164,102,98,87,205,grey
165,102,97,88,208,grey
165,101,97,88,209,grey
165,101,98,88,208,grey
164,102,98,88,204,grey
165,103,98,88,206,grey
164,102,97,88,205,grey
165,102,97,88,208,grey
165,101,98,88,208,grey
164,100,98,88,206,grey
165,103,97,88,207,grey
164,102,97,88,205,grey
165,102,98,88,207,grey
164,101,97,87,207,grey
164,103,98,88,203,grey
164,103,97,88,204,grey
164,102,97,88,205,grey
164,102,98,88,204,grey
165,100,98,88,209,grey
164,102,98,88,204,grey
164,103,98,88,203,grey
164,102,98,88,204,grey
164,101,98,88,205,grey
164,101,98,88,205,grey
165,103,97,88,207,grey
165,102,98,89,206,grey
165,101,98,88,208,grey
164,102,98,87,205,grey
164,103,98,88,203,grey
164,103,97,88,204,grey
165,101,98,88,208,grey
165,101,98,88,208,grey
164,102,98,88,204,grey
164,103,97,88,204,grey
164,102,98,88,204,grey
164,102,98,88,204,grey
164,103,98,88,203,grey
165,101,98,88,208,grey
164,102,98,88,204,grey
164,103,97,88,204,grey
165,102,98,88,207,grey
165,100,98,88,209,grey
164,102,98,87,205,grey
165,103,97,88,207,grey
164,102,97,88,205,grey
165,101,98,87,209,grey
164,103,98,88,203,grey
164,101,98,88,205,grey
164,101,97,88,206,grey
164,102,97,88,205,grey
164,102,97,88,205,grey
165,101,98,89,207,grey
164,101,97,88,206,grey
164,102,98,87,205,grey
164,102,98,88,204,grey
164,103,98,88,203,grey
165,101,97,88,209,grey
164,101,97,87,207,grey
164,103,97,88,204,grey
164,101,97,88,206,grey
164,100,97,87,208,grey
164,103,98,88,203,grey
165,101,98,87,209,grey
165,103,98,88,206,grey
164,103,97,88,204,grey
165,100,98,88,209,grey
164,101,97,87,207,grey
164,103,97,88,204,grey
164,102,97,88,205,grey
165,101,98,88,208,grey
164,101,97,87,207,grey
164,103,97,88,204,grey
164,102,97,88,205,grey
165,101,97,87,210,grey
164,103,98,88,203,grey
164,103,97,89,203,grey
165,100,98,88,209,grey
164,101,97,88,206,grey
164,102,97,88,205,grey
164,102,97,88,205,grey
164,100,97,88,207,grey
164,101,97,87,207,grey
164,102,98,88,204,grey
164,103,97,88,204,grey
165,101,97,87,210,grey
164,102,98,88,204,grey
165,101,97,88,209,grey
164,101,97,87,207,grey
164,103,97,88,204,grey
164,101,97,88,206,grey
164,100,97,87,208,grey
165,103,98,88,206,grey
164,102,97,88,205,grey
165,101,97,88,209,grey
164,101,97,87,207,grey
164,102,98,88,204,grey
164,103,97,88,204,grey
164,102,97,88,205,grey
164,101,97,88,206,grey
165,101,97,87,210,grey
164,102,98,88,204,grey
164,103,97,88,204,grey
165,101,98,88,208,grey
164,100,97,88,207,grey
164,102,98,88,204,grey
164,101,97,88,206,grey
164,100,97,88,207,grey
164,101,97,87,207,grey
164,101,97,87,207,grey
164,103,98,88,203,grey
164,102,97,88,205,grey
164,101,97,88,206,grey
164,101,97,88,206,grey
164,102,97,88,205,grey
164,101,98,88,205,grey
164,100,97,88,207,grey
164,102,97,88,205,grey
164,102,97,88,205,grey
165,101,98,88,208,grey
164,101,97,88,206,grey
164,101,97,87,207,grey
164,102,98,88,204,grey
164,102,97,88,205,grey
165,101,98,88,208,grey
164,101,97,88,206,grey
164,102,97,88,205,grey
164,102,97,88,205,grey
164,101,98,88,205,grey
164,101,97,88,206,grey
164,101,98,87,206,grey
164,102,98,88,204,grey
164,102,97,88,205,grey
164,101,97,87,207,grey
164,102,97,88,205,grey
164,102,97,88,205,grey
164,101,97,88,206,grey
165,100,97,88,210,grey
164,102,98,88,204,grey
164,102,97,88,205,grey
164,101,97,88,206,grey
165,101,97,87,210,grey
164,102,97,88,205,grey
164,102,97,88,205,grey
165,100,97,88,210,grey
164,101,97,87,207,grey
164,103,97,88,204,grey
164,102,97,88,205,grey
164,101,98,88,205,grey
164,100,98,88,206,grey
164,101,97,87,207,grey
163,102,98,87,202,grey
164,101,98,88,205,grey
164,101,97,88,206,grey
164,101,97,88,206,grey
163,102,96,88,203,grey
164,101,98,88,205,grey
163,101,98,87,203,grey
164,102,97,88,205,grey
164,101,97,88,206,grey
164,101,97,87,207,grey
164,102,97,88,205,grey
164,102,97,88,205,grey
164,101,97,88,206,grey
164,100,97,88,207,grey
163,102,98,87,202,grey
164,102,97,88,205,grey
164,102,97,88,205,grey
164,101,97,88,206,grey
164,101,98,87,206,grey
164,102,97,87,206,grey
164,102,98,87,205,grey
164,102,98,88,204,grey
164,102,98,88,204,grey
