White,Red,Green,Blue,Total,color_label
30,21,27,35,7,grey
63,34,39,44,72,grey
76,40,43,47,98,grey
82,43,46,49,108,grey
84,46,48,51,107,grey
87,47,49,51,114,grey
87,48,49,52,112,grey
87,48,51,52,110,grey
89,49,50,53,115,grey
89,50,52,53,112,grey
91,50,51,53,119,grey
90,50,53,53,114,grey
92,50,51,54,121,grey
90,50,53,54,113,grey
91,51,53,55,114,grey
92,51,52,54,119,grey
91,51,53,55,114,grey
92,51,53,54,118,grey
91,52,53,55,113,grey
92,51,54,53,118,grey
92,52,53,55,116,grey
91,51,54,54,114,grey
92,52,52,55,117,grey
92,52,53,56,115,grey
92,51,54,54,117,grey
93,52,53,55,119,grey
92,52,54,54,116,grey
94,52,53,54,123,grey
92,53,52,56,115,grey
91,51,54,55,113,grey
93,52,52,55,120,grey
92,53,54,56,113,grey
93,52,53,55,119,grey
92,53,53,55,115,grey
92,53,54,54,115,grey
93,52,54,55,118,grey
92,53,53,55,115,grey
92,52,54,54,116,grey
93,53,53,55,118,grey
93,53,53,55,118,grey
92,52,54,54,116,grey
93,52,54,55,118,grey
92,53,53,55,115,grey
92,52,54,54,116,grey
92,53,53,55,115,grey
93,53,53,56,117,grey
93,53,54,55,117,grey
92,53,53,56,114,grey
93,52,54,54,119,grey
92,53,53,56,114,grey
93,52,54,55,118,grey
92,53,54,55,114,grey
92,52,55,54,115,grey
94,53,53,55,121,grey
93,53,54,56,116,grey
92,52,55,54,115,grey
92,53,53,56,114,grey
92,52,54,54,116,grey
92,53,54,56,113,grey
93,52,54,54,119,grey
94,53,53,55,121,grey
93,53,53,55,118,grey
92,52,54,55,115,grey
92,53,53,55,115,grey
92,52,54,54,116,grey
92,53,53,55,115,grey
92,53,55,54,114,grey
94,52,54,55,121,grey
92,53,55,54,114,grey
94,53,54,55,120,grey
93,53,54,55,117,grey
93,52,54,55,118,grey
92,53,54,56,113,grey
93,52,54,54,119,grey
92,53,53,56,114,grey
92,52,55,54,115,grey
94,53,53,55,121,grey
92,52,54,56,114,grey
93,52,54,54,119,grey
92,53,53,55,115,grey
93,53,53,56,117,grey
93,52,54,54,119,grey
92,53,53,55,115,grey
92,53,54,56,113,grey
92,52,55,54,115,grey
93,53,53,55,118,grey
92,52,55,55,114,grey
93,53,54,55,117,grey
93,53,54,56,116,grey
94,52,54,55,121,grey
92,53,53,56,114,grey
94,52,53,55,122,grey
92,52,54,56,114,grey
94,53,54,55,120,grey
92,53,53,55,115,grey
92,52,55,54,115,grey
94,53,53,55,121,grey
92,53,54,56,113,grey
92,52,55,54,115,grey
94,53,53,55,121,grey
92,53,54,56,113,grey
92,52,54,55,115,grey
92,53,53,55,115,grey
92,52,54,54,116,grey
94,53,54,55,120,grey
92,53,53,56,114,grey
