White,Red,Green,Blue,Total,color_label
68,100,69,45,-10,orange
138,139,87,54,134,orange
158,153,93,58,170,orange
164,159,98,60,175,orange
170,162,100,61,187,orange
172,166,101,61,188,orange
173,165,103,62,189,orange
175,169,102,62,192,orange
175,167,103,61,194,orange
176,171,103,63,191,orange
176,168,103,62,195,orange
178,171,103,63,197,orange
176,169,103,62,194,orange
177,172,103,63,193,orange
177,171,104,62,194,orange
178,172,104,63,195,orange
177,170,104,62,195,orange
178,173,103,63,195,orange
177,170,105,63,193,orange
178,173,104,63,194,orange
178,170,104,62,198,orange
178,173,104,63,194,orange
178,170,104,62,198,orange
179,173,104,63,197,orange
178,172,104,63,195,orange
179,171,105,63,198,orange
178,173,105,63,193,orange
178,171,105,63,195,orange
179,173,103,63,198,orange
177,171,104,61,195,orange
178,173,103,63,195,orange
177,171,104,62,194,orange
178,173,103,63,195,orange
177,171,104,62,194,orange
179,173,104,62,198,orange
177,170,104,61,196,orange
178,173,103,63,195,orange
177,172,103,62,194,orange
178,171,104,63,196,orange
178,173,104,63,194,orange
177,170,104,62,195,orange
178,173,104,62,195,orange
178,169,104,62,199,orange
178,173,104,62,195,orange
178,171,104,63,196,orange
178,172,103,62,197,orange
179,172,104,63,198,orange
178,172,103,62,197,orange
178,173,103,62,196,orange
177,170,104,62,195,orange
178,173,103,62,196,orange
177,170,103,61,197,orange
178,173,103,62,196,orange
177,170,103,61,197,orange
178,172,104,62,196,orange
178,173,104,62,195,orange
178,170,104,62,198,orange
178,173,104,62,195,orange
178,172,103,62,197,orange
177,169,103,62,197,orange
178,173,103,62,196,orange
178,170,104,62,198,orange
178,173,104,62,195,orange
179,171,104,62,200,orange
177,172,103,62,194,orange
178,172,102,62,198,orange
177,171,103,61,196,orange
178,173,103,62,196,orange
177,169,103,61,198,orange
178,172,103,62,197,orange
177,169,103,61,198,orange
178,172,103,62,197,orange
176,169,103,61,195,orange
178,172,102,62,198,orange
177,169,103,61,198,orange
178,173,104,62,195,orange
178,172,102,62,198,orange
177,169,103,62,197,orange
178,172,103,62,197,orange
178,172,102,62,198,orange
176,169,103,62,194,orange
178,172,103,62,197,orange
178,172,102,61,199,orange
176,168,103,62,195,orange
178,172,103,61,198,orange
178,172,102,62,198,orange
176,170,103,61,194,orange
177,172,103,62,194,orange
176,168,103,60,197,orange
177,172,103,62,194,orange
178,171,103,61,199,orange
178,172,103,62,197,orange
176,170,103,60,195,orange
177,172,103,62,194,orange
177,170,103,62,196,orange
177,172,103,61,195,orange
178,171,102,62,199,orange
176,169,102,60,197,orange
177,172,102,62,195,orange
178,171,103,61,199,orange
176,169,102,61,196,orange
177,172,103,61,195,orange
178,171,102,61,200,orange
176,168,102,62,196,orange
177,171,103,61,196,orange
177,172,102,62,195,orange
177,169,103,62,197,orange
177,169,102,61,199,orange
177,172,103,61,195,orange
178,171,102,61,200,orange
176,168,102,61,197,orange
177,171,103,60,197,orange
177,172,102,61,196,orange
177,168,102,60,201,orange
177,172,102,61,196,orange
177,170,103,62,196,orange
177,170,102,60,199,orange
177,172,103,62,194,orange
177,171,102,61,197,orange
178,168,102,61,203,orange
177,171,103,61,196,orange
178,171,102,62,199,orange
176,168,102,60,198,orange
177,171,103,61,196,orange
177,170,102,62,197,orange
176,169,102,60,197,orange
177,171,103,61,196,orange
177,171,102,61,197,orange
176,168,102,62,196,orange
177,171,102,60,198,orange
177,171,102,61,197,orange
176,169,102,62,195,orange
177,171,102,61,197,orange
177,169,102,62,198,orange
176,171,101,61,195,orange
176,168,102,62,196,orange
177,171,102,61,197,orange
176,168,102,61,197,orange
177,171,103,61,196,orange
177,171,102,61,197,orange
176,168,102,60,198,orange
177,171,103,61,196,orange
177,171,101,61,198,orange
175,168,102,60,195,orange
177,171,102,61,197,orange
177,169,102,60,200,orange
177,171,102,61,197,orange
177,171,101,61,198,orange
175,169,102,60,194,orange
177,171,101,61,198,orange
176,168,102,62,196,orange
176,171,102,61,194,orange
177,170,102,62,197,orange
176,171,102,61,194,orange
177,171,102,61,197,orange
176,169,102,61,196,orange
176,168,102,61,197,orange
177,171,102,61,197,orange
177,171,101,61,198,orange
176,167,102,61,198,orange
177,171,102,61,197,orange
178,170,102,61,201,orange
176,170,102,60,196,orange
176,171,102,61,194,orange
176,169,102,62,195,orange
176,169,102,60,197,orange
177,171,102,60,198,orange
177,171,102,61,197,orange
176,169,102,62,195,orange
175,168,102,61,194,orange
177,171,102,60,198,orange
177,171,101,61,198,orange
176,167,102,60,199,orange
177,171,102,61,197,orange
177,170,102,61,198,orange
176,169,102,60,197,orange
176,171,101,61,195,orange
175,167,102,61,195,orange
177,171,101,61,198,orange
176,169,102,62,195,orange
177,170,102,60,199,orange
177,171,102,61,197,orange
177,170,101,61,199,orange
176,169,102,61,196,orange
175,168,102,61,194,orange
177,170,102,60,199,orange
177,171,102,61,197,orange
177,170,101,61,199,orange
175,167,102,61,195,orange
177,171,102,61,197,orange
177,170,101,61,199,orange
176,167,102,61,198,orange
177,171,102,61,197,orange
177,171,101,61,198,orange
177,169,102,61,199,orange
175,167,102,61,195,orange
177,171,102,60,198,orange
177,171,101,61,198,orange
176,169,102,61,196,orange
175,167,102,61,195,orange
177,170,101,60,200,orange
176,171,102,61,194,orange
177,170,101,61,199,orange
175,167,102,60,196,orange
176,171,101,61,195,orange
176,169,102,61,196,orange
176,170,101,60,197,orange
176,171,101,61,195,orange
175,168,101,60,196,orange
177,171,101,61,198,orange
176,168,102,61,197,orange
177,171,101,61,198,orange
177,170,101,61,199,orange
176,167,102,61,198,orange
176,168,101,60,199,orange
176,171,102,61,194,orange
177,170,101,61,199,orange
176,167,102,61,198,orange
176,168,101,60,199,orange
176,171,102,61,194,orange
176,170,101,60,197,orange
175,167,102,61,195,orange
176,168,101,60,199,orange
176,171,102,60,195,orange
176,170,101,61,196,orange
176,168,101,61,198,orange
176,170,102,60,196,orange
176,170,101,61,196,orange
175,167,102,61,195,orange
176,170,102,60,196,orange
176,170,101,61,196,orange
176,169,101,61,197,orange
