White,Red,Green,Blue,Total,color_label
56,100,54,27,-13,orange
116,137,70,34,107,orange
132,151,74,37,134,orange
137,156,78,38,139,orange
144,160,80,37,155,orange
145,163,81,40,151,orange
145,163,81,39,152,orange
148,167,81,40,156,orange
148,164,82,39,159,orange
149,168,84,40,155,orange
149,168,83,40,156,orange
150,166,83,39,162,orange
151,170,84,40,159,orange
151,170,85,39,159,orange
151,170,83,40,160,orange
151,169,85,39,160,orange
151,171,84,40,158,orange
152,169,85,39,163,orange
151,171,83,40,159,orange
152,169,85,40,162,orange
152,171,84,40,161,orange
153,169,85,41,164,orange
151,171,84,40,158,orange
152,171,83,40,162,orange
152,168,84,39,165,orange
152,171,84,40,161,orange
152,170,85,39,162,orange
152,172,84,40,160,orange
151,168,84,40,161,orange
152,171,83,40,162,orange
151,169,85,39,160,orange
152,172,84,40,160,orange
153,171,85,41,162,orange
152,171,84,40,161,orange
152,171,84,41,160,orange
150,169,84,40,157,orange
152,172,83,40,161,orange
151,168,84,41,160,orange
151,169,84,40,160,orange
153,169,84,39,167,orange
151,170,83,39,161,orange
152,172,83,41,160,orange
151,168,84,39,162,orange
151,171,83,40,159,orange
152,170,84,41,161,orange
151,168,84,39,162,orange
152,171,84,40,161,orange
152,171,83,40,162,orange
152,169,84,40,163,orange
152,171,83,40,162,orange
152,171,83,40,162,orange
152,168,84,41,163,orange
152,171,83,40,162,orange
151,169,84,41,159,orange
151,171,83,40,159,orange
152,171,83,40,162,orange
150,168,83,39,160,orange
151,171,83,40,159,orange
152,171,85,39,161,orange
152,171,84,40,161,orange
152,171,83,40,162,orange
151,169,84,41,159,orange
150,167,83,39,161,orange
152,171,84,40,161,orange
152,171,83,40,162,orange
152,168,84,39,165,orange
151,170,83,39,161,orange
152,171,83,40,162,orange
152,171,83,40,162,orange
152,169,84,40,163,orange
151,171,84,40,158,orange
151,171,83,40,159,orange
150,168,83,39,160,orange
151,170,83,39,161,orange
152,171,83,40,162,orange
152,171,83,40,162,orange
150,168,83,39,160,orange
151,171,84,39,159,orange
152,168,84,40,164,orange
150,168,83,38,161,orange
151,171,83,40,159,orange
150,167,83,39,161,orange
151,169,83,39,162,orange
152,171,82,40,163,orange
152,170,83,40,163,orange
150,170,83,39,158,orange
151,171,82,41,159,orange
149,168,83,39,157,orange
152,171,84,39,162,orange
152,171,82,39,164,orange
152,170,83,40,163,orange
150,167,83,39,161,orange
151,171,83,39,160,orange
151,170,84,40,159,orange
150,167,83,39,161,orange
151,171,83,40,159,orange
152,171,82,40,163,orange
152,170,84,40,162,orange
150,168,83,38,161,orange
151,170,83,39,161,orange
151,170,83,40,160,orange
151,168,84,40,161,orange
150,168,83,39,160,orange
151,170,83,39,161,orange
151,171,83,39,160,orange
151,170,82,39,162,orange
152,167,83,39,167,orange
151,169,83,38,163,orange
151,170,82,39,162,orange
152,170,83,40,163,orange
149,168,82,39,158,orange
151,170,82,39,162,orange
152,169,83,40,164,orange
151,169,83,39,162,orange
151,170,83,39,161,orange
152,169,83,40,164,orange
149,167,82,39,159,orange
151,170,83,39,161,orange
151,170,82,40,161,orange
151,168,83,40,162,orange
150,166,83,40,161,orange
150,170,82,39,159,orange
151,170,82,39,162,orange
151,168,82,38,165,orange
151,169,82,38,164,orange
151,170,83,39,161,orange
152,170,83,40,163,orange
151,167,83,40,163,orange
150,167,82,38,163,orange
151,170,83,39,161,orange
151,170,83,39,161,orange
151,170,82,39,162,orange
150,168,83,39,160,orange
151,170,82,39,162,orange
150,168,82,38,162,orange
151,170,83,39,161,orange
151,170,82,39,162,orange
151,167,83,40,163,orange
151,170,83,39,161,orange
151,170,82,39,162,orange
151,169,84,38,162,orange
151,170,83,39,161,orange
151,170,83,40,160,orange
149,167,82,38,160,orange
150,169,82,39,160,orange
151,170,83,39,161,orange
151,170,82,39,162,orange
151,169,83,40,161,orange
150,166,82,38,164,orange
151,170,82,39,162,orange
151,170,83,39,161,orange
151,170,83,40,160,orange
150,167,82,38,163,orange
151,170,82,39,162,orange
152,169,83,40,164,orange
150,167,83,38,162,orange
151,170,83,39,161,orange
151,170,83,39,161,orange
149,168,82,38,159,orange
151,169,83,39,162,orange
