White,Red,Green,Blue,Total,color_label
153,132,120,126,81,pink
237,168,138,139,266,pink
254,178,146,143,295,pink
259,181,148,144,304,pink
263,185,149,145,310,pink
264,187,150,146,309,pink
265,189,150,146,310,pink
265,190,152,146,307,pink
265,189,151,145,310,pink
267,190,151,146,314,pink
267,191,151,146,313,pink
266,191,151,146,310,pink
266,189,151,145,313,pink
266,188,151,146,313,pink
267,191,150,145,315,pink
265,191,151,145,308,pink
266,188,150,145,315,pink
266,191,150,145,312,pink
266,190,151,145,312,pink
265,188,150,144,313,pink
266,190,150,145,313,pink
266,190,150,144,314,pink
265,190,150,144,311,pink
266,188,149,144,317,pink
266,190,149,144,315,pink
265,187,149,143,316,pink
266,188,149,143,318,pink
266,190,149,144,315,pink
264,188,149,143,312,pink
266,188,149,143,318,pink
265,190,150,143,312,pink
266,187,149,143,319,pink
265,189,148,143,315,pink
264,189,149,143,311,pink
265,187,148,143,317,pink
264,189,149,142,312,pink
265,186,148,143,318,pink
265,189,148,142,316,pink
263,188,148,142,311,pink
264,188,148,142,314,pink
263,187,148,142,312,pink
264,187,148,142,315,pink
263,186,147,142,314,pink
264,188,147,142,315,pink
263,185,147,142,315,pink
264,187,147,142,316,pink
263,186,147,141,315,pink
264,186,147,142,317,pink
264,188,148,141,315,pink
264,185,147,142,318,pink
264,188,147,141,316,pink
263,184,147,141,317,pink
263,187,147,141,314,pink
262,185,147,141,313,pink
264,186,146,141,319,pink
263,188,147,141,313,pink
262,185,147,141,313,pink
263,187,146,141,315,pink
262,187,147,141,311,pink
263,186,146,141,316,pink
263,187,146,140,316,pink
262,187,147,141,311,pink
264,185,146,141,320,pink
263,187,147,140,315,pink
263,184,146,141,318,pink
262,186,146,140,314,pink
263,187,146,140,316,pink
262,184,146,140,316,pink
262,186,146,140,314,pink
262,187,147,140,312,pink
262,186,146,140,314,pink
263,187,146,140,316,pink
262,184,146,140,316,pink
262,186,145,140,315,pink
262,186,146,140,314,pink
262,184,146,139,317,pink
262,185,145,140,316,pink
262,186,146,139,315,pink
262,183,145,140,318,pink
262,186,146,139,315,pink
262,183,145,139,319,pink
262,184,145,140,317,pink
262,186,145,140,315,pink
261,183,145,139,316,pink
261,185,145,139,314,pink
261,186,145,139,313,pink
261,183,145,139,316,pink
262,184,144,139,319,pink
260,184,145,139,312,pink
262,185,144,139,318,pink
260,185,146,139,310,pink
261,183,145,139,316,pink
261,185,145,139,314,pink
261,186,145,139,313,pink
260,183,145,139,313,pink
261,185,145,139,314,pink
261,185,145,139,314,pink
260,182,144,139,315,pink
261,185,145,139,314,pink
261,182,145,139,317,pink
261,185,144,139,315,pink
259,183,144,139,311,pink
261,184,145,139,315,pink
261,185,144,139,315,pink
259,183,144,138,312,pink
260,184,144,139,313,pink
260,185,145,138,312,pink
261,182,144,139,318,pink
261,185,145,138,315,pink
261,182,144,139,318,pink
261,185,144,138,316,pink
260,182,144,139,315,pink
261,185,143,138,317,pink
259,184,144,138,311,pink
260,181,144,138,317,pink
260,185,145,138,312,pink
260,182,144,139,315,pink
261,185,144,138,316,pink
259,183,144,138,312,pink
261,183,143,138,319,pink
260,184,144,138,314,pink
261,184,143,138,318,pink
259,184,144,138,311,pink
259,181,143,138,315,pink
261,184,143,138,318,pink
259,182,143,138,314,pink
260,184,143,138,315,pink
259,183,143,138,313,pink
260,181,143,138,318,pink
260,184,144,138,314,pink
259,181,143,138,315,pink
259,184,143,138,312,pink
258,183,144,138,309,pink
259,181,143,138,315,pink
260,184,144,138,314,pink
259,181,143,138,315,pink
260,184,143,138,315,pink
259,180,143,137,317,pink
260,182,143,138,317,pink
260,184,144,137,315,pink
260,182,143,138,317,pink
260,184,144,138,314,pink
259,181,143,137,316,pink
260,183,143,137,317,pink
260,184,144,137,315,pink
260,183,143,137,317,pink
258,183,143,137,311,pink
260,181,143,137,319,pink
259,183,142,137,315,pink
258,182,143,137,312,pink
260,183,142,137,318,pink
259,183,143,137,314,pink
260,182,143,138,317,pink
260,184,143,137,316,pink
259,180,142,138,317,pink
259,183,143,137,314,pink
259,180,142,137,318,pink
259,183,143,137,314,pink
259,183,143,137,314,pink
260,181,142,137,320,pink
260,183,144,137,316,pink
259,180,142,137,318,pink
260,183,143,137,317,pink
258,182,142,137,313,pink
259,183,142,137,315,pink
258,180,142,137,315,pink
259,183,143,137,314,pink
258,181,142,137,314,pink
259,180,142,137,318,pink
259,183,143,137,314,pink
258,180,142,137,315,pink
259,183,142,137,315,pink
258,180,142,137,315,pink
259,183,142,137,315,pink
258,182,143,137,312,pink
259,182,142,137,316,pink
259,183,143,136,315,pink
259,182,142,137,316,pink
259,183,143,137,314,pink
258,179,142,137,316,pink
259,183,143,137,314,pink
258,179,142,137,316,pink
259,183,142,137,315,pink
257,182,142,136,311,pink
259,182,142,137,316,pink
257,181,142,137,311,pink
258,182,142,136,314,pink
258,181,142,137,314,pink
258,179,142,137,316,pink
259,182,142,137,316,pink
258,182,142,136,314,pink
258,179,142,137,316,pink
259,183,142,137,315,pink
258,182,142,136,314,pink
258,182,141,136,315,pink
257,181,142,136,312,pink
258,182,141,136,315,pink
257,182,143,136,310,pink
258,180,141,136,317,pink
258,183,142,137,312,pink
257,180,141,136,314,pink
258,179,141,136,318,pink
258,182,141,136,315,pink
257,180,142,136,313,pink
259,181,141,136,319,pink
258,182,142,136,314,pink
258,178,141,136,319,pink
258,182,142,136,314,pink
257,179,141,136,315,pink
258,182,141,136,315,pink
258,182,142,136,314,pink
258,181,141,136,316,pink
258,182,142,136,314,pink
258,179,142,136,317,pink
258,182,141,136,315,pink
257,181,142,136,312,pink
258,182,141,136,315,pink
257,179,141,136,315,pink
257,181,142,136,312,pink
258,182,142,136,314,pink
258,180,140,136,318,pink
258,182,142,136,314,pink
258,181,141,136,316,pink
258,182,141,136,315,pink
257,178,141,136,316,pink
258,182,142,136,314,pink
257,178,141,136,316,pink
258,182,141,136,315,pink
257,179,141,135,316,pink
