White,Red,Green,Blue,Total,color_label
88,97,48,34,85,red
109,112,55,38,122,red
118,120,59,40,135,red
123,122,61,40,146,red
125,128,62,42,143,red
127,129,62,43,147,red
128,129,63,43,149,red
130,133,64,43,150,red
131,133,65,43,152,red
132,132,65,44,155,red
132,133,65,44,154,red
134,134,66,44,158,red
134,135,67,45,155,red
133,137,66,44,152,red
134,136,65,44,157,red
134,134,67,44,157,red
133,134,66,43,156,red
134,138,67,44,153,red
134,135,67,45,155,red
135,137,66,44,158,red
135,137,66,44,158,red
134,137,66,44,155,red
134,135,67,45,155,red
135,137,66,44,158,red
135,138,66,44,157,red
135,137,66,44,158,red
135,137,66,44,158,red
135,136,67,45,157,red
135,138,66,44,157,red
134,137,66,43,156,red
135,138,66,44,157,red
134,136,67,43,156,red
135,139,67,44,155,red
134,137,66,43,156,red
135,138,66,44,157,red
135,136,67,43,159,red
135,139,66,45,155,red
135,137,66,44,158,red
135,138,66,44,157,red
134,136,67,44,155,red
135,139,67,44,155,red
136,138,66,45,159,red
136,138,67,44,159,red
135,138,67,44,156,red
135,138,66,43,158,red
136,138,66,44,160,red
135,136,67,43,159,red
136,139,67,44,158,red
135,138,67,45,155,red
135,139,67,44,155,red
136,138,66,44,160,red
135,136,67,45,157,red
135,138,67,43,157,red
136,139,66,44,159,red
134,136,66,44,156,red
136,138,66,44,160,red
135,138,66,43,158,red
136,138,66,44,160,red
135,136,67,43,159,red
135,139,66,44,156,red
135,136,67,45,157,red
135,138,66,43,158,red
135,139,66,44,156,red
135,136,67,45,157,red
135,139,67,44,155,red
136,138,67,45,158,red
135,137,67,43,158,red
135,139,67,44,155,red
136,137,67,45,159,red
135,138,67,44,156,red
135,139,67,44,155,red
135,138,66,44,157,red
135,139,67,43,156,red
136,139,66,44,159,red
135,136,67,44,158,red
135,136,67,44,158,red
135,139,67,44,155,red
136,138,66,45,159,red
135,138,67,44,156,red
136,138,66,44,160,red
134,136,67,44,155,red
135,139,67,43,156,red
136,138,66,44,160,red
134,138,66,43,155,red
135,138,66,44,157,red
134,136,67,45,154,red
135,138,67,43,157,red
135,138,67,44,156,red
135,137,67,44,157,red
135,138,66,44,157,red
136,138,66,44,160,red
135,138,66,43,158,red
135,138,66,44,157,red
135,137,67,44,157,red
135,136,66,43,160,red
136,139,66,44,159,red
135,138,67,44,156,red
135,139,67,44,155,red
135,138,66,44,157,red
135,137,66,43,159,red
135,139,67,44,155,red
136,138,66,45,159,red
135,138,66,43,158,red
136,136,67,44,161,red
134,136,67,44,155,red
135,138,67,43,157,red
136,138,65,44,161,red
135,136,67,44,158,red
135,137,66,43,159,red
136,138,66,44,160,red
134,138,66,43,155,red
135,138,66,44,157,red
134,135,67,45,155,red
135,138,67,43,157,red
136,138,65,44,161,red
135,138,66,44,157,red
136,138,66,44,160,red
135,137,66,43,159,red
135,138,66,44,157,red
135,136,67,45,157,red
135,139,66,44,156,red
135,137,67,44,157,red
135,137,66,44,158,red
135,139,66,44,156,red
135,136,67,45,157,red
135,138,67,44,156,red
135,137,67,44,157,red
135,138,66,44,157,red
135,135,67,45,158,red
134,135,67,45,155,red
135,138,67,43,157,red
136,138,66,44,160,red
134,135,67,43,157,red
135,138,66,44,157,red
134,138,66,43,155,red
135,138,66,44,157,red
135,136,67,44,158,red
135,136,66,43,160,red
135,138,66,44,157,red
135,138,66,44,157,red
134,135,67,45,155,red
135,138,66,43,158,red
135,138,66,44,157,red
134,136,67,44,155,red
135,137,67,44,157,red
135,137,66,43,159,red
135,138,66,44,157,red
134,135,67,43,157,red
135,138,65,44,158,red
134,136,66,43,157,red
135,138,66,44,157,red
134,135,67,45,155,red
135,138,66,44,157,red
134,136,67,45,154,red
134,138,65,44,155,red
135,137,66,43,159,red
135,138,66,44,157,red
135,136,67,44,158,red
135,138,67,44,156,red
134,136,66,42,158,red
135,138,66,44,157,red
134,135,67,44,156,red
135,136,66,43,160,red
135,137,67,44,157,red
135,138,66,44,157,red
135,137,65,43,160,red
135,136,66,43,160,red
135,138,66,44,157,red
134,137,66,43,156,red
136,135,67,45,161,red
134,135,67,44,156,red
135,138,66,43,158,red
135,138,65,44,158,red
134,136,66,43,157,red
135,138,66,44,157,red
134,135,66,44,157,red
135,138,65,44,158,red
134,135,66,44,157,red
134,138,67,43,154,red
135,137,65,44,159,red
135,137,66,43,159,red
135,135,67,44,159,red
134,135,66,44,157,red
135,138,66,43,158,red
135,137,66,44,158,red
135,137,66,43,159,red
135,138,66,44,157,red
134,136,66,43,157,red
135,137,65,44,159,red
134,135,66,43,158,red
135,138,66,44,157,red
135,137,66,44,158,red
135,137,66,43,159,red
135,137,66,44,158,red
135,137,66,43,159,red
135,138,65,43,159,red
134,136,67,44,155,red
135,138,66,43,158,red
135,137,67,44,157,red
135,138,66,43,158,red
135,137,66,44,158,red
135,138,66,43,158,red
135,137,65,43,160,red
134,136,65,43,158,red
135,137,66,44,158,red
135,137,66,43,159,red
135,138,66,43,158,red
135,137,65,44,159,red
134,137,66,43,156,red
135,137,65,43,160,red
135,138,66,43,158,red
135,138,65,44,158,red
134,135,66,44,157,red
135,138,66,44,157,red
135,136,66,44,159,red
134,136,66,44,156,red
135,136,66,44,159,red
135,137,66,43,159,red
135,138,66,44,157,red
134,135,66,43,158,red
134,138,65,43,156,red
134,135,66,43,158,red
135,138,66,43,158,red
135,135,66,44,160,red
133,135,66,43,155,red
134,138,66,44,154,red
135,137,66,42,160,red
135,137,66,44,158,red
134,135,66,44,157,red
135,138,66,43,158,red
135,137,65,44,159,red
135,138,66,43,158,red
135,135,66,44,160,red
134,135,66,45,156,red
135,138,66,43,158,red
135,138,66,44,157,red
134,135,66,44,157,red
135,138,66,43,158,red
135,137,66,44,158,red
134,136,66,43,157,red
135,137,65,43,160,red
133,135,66,44,154,red
134,138,66,44,154,red
134,136,66,44,156,red
134,138,66,44,154,red
135,135,66,44,160,red
134,135,66,44,157,red
134,138,66,43,155,red
135,138,65,44,158,red
134,135,66,44,157,red
135,138,66,44,157,red
135,135,66,44,160,red
134,135,66,44,157,red
134,138,66,43,155,red
135,137,65,44,159,red
134,135,66,44,157,red
135,138,66,44,157,red
134,135,66,44,157,red
134,138,65,43,156,red
134,135,66,44,157,red
134,138,66,43,155,red
135,137,66,44,158,red
135,136,66,43,160,red
136,135,66,44,163,red
134,135,67,44,156,red
134,136,66,43,157,red
134,138,66,43,155,red
135,137,65,43,160,red
134,137,66,43,156,red
135,137,65,43,160,red
134,137,66,43,156,red
135,138,65,44,158,red
134,135,66,44,157,red
135,138,66,44,157,red
134,134,66,43,159,red
134,135,65,42,160,red
134,137,65,44,156,red
134,137,66,44,155,red
134,137,66,42,157,red
135,137,65,43,160,red
134,135,65,43,159,red
135,137,65,43,160,red
134,135,66,43,158,red
134,138,66,43,155,red
134,135,66,44,157,red
135,138,65,44,158,red
134,135,66,44,157,red
134,138,66,43,155,red
135,137,66,44,158,red
134,135,66,44,157,red
134,138,66,44,154,red
133,135,66,44,154,red
135,138,65,44,158,red
134,135,66,44,157,red
135,137,66,43,159,red
134,138,66,43,155,red
134,135,66,44,157,red
135,137,66,43,159,red
135,136,66,44,159,red
135,137,66,43,159,red
135,137,66,44,158,red
135,137,66,43,159,red
134,137,65,44,156,red
134,135,65,43,159,red
134,138,65,43,156,red
133,135,66,42,156,red
135,137,65,44,159,red
134,138,66,43,155,red
135,137,65,43,160,red
134,136,66,43,157,red
134,138,65,43,156,red
134,135,66,44,157,red
134,137,65,44,156,red
134,135,66,44,157,red
134,138,66,43,155,red
134,135,66,44,157,red
134,138,66,44,154,red
134,135,66,44,157,red
135,138,66,43,158,red
135,137,65,43,160,red
133,136,65,43,155,red
135,137,65,43,160,red
135,137,66,43,159,red
135,138,65,43,159,red
134,135,66,43,158,red
134,135,66,42,159,red
134,138,66,43,155,red
134,135,65,42,160,red
135,138,65,44,158,red
133,135,66,44,154,red
134,138,66,44,154,red
134,135,66,44,157,red
134,137,66,44,155,red
134,135,66,44,157,red
134,137,66,43,156,red
135,137,65,44,159,red
134,135,66,44,157,red
135,137,65,43,160,red
134,135,66,44,157,red
134,137,66,42,157,red
134,137,66,43,156,red
134,135,66,43,158,red
134,135,66,42,159,red
134,137,66,43,156,red
135,136,66,44,159,red
134,138,66,43,155,red
134,135,66,43,158,red
134,135,65,43,159,red
134,137,65,43,157,red
134,135,66,42,159,red
135,137,65,44,159,red
134,134,66,44,158,red
134,136,66,44,156,red
134,136,65,43,158,red
135,137,65,43,160,red
134,135,65,44,158,red
134,137,66,43,156,red
134,135,66,44,157,red
134,138,66,43,155,red
135,136,66,44,159,red
134,136,65,43,158,red
134,137,66,43,156,red
133,135,66,44,154,red
134,136,66,44,156,red
134,136,66,44,156,red
134,137,66,43,156,red
135,137,65,44,159,red
134,135,66,44,157,red
134,137,65,43,157,red
134,136,65,43,158,red
134,137,65,43,157,red
133,135,66,42,156,red
134,137,65,43,157,red
134,136,66,44,156,red
