White,Red,Green,Blue,Total,color_label
216,145,67,48,388,red
134,138,65,46,153,red
139,140,65,47,165,red
140,139,65,47,169,red
138,135,63,46,170,red
136,137,64,47,160,red
136,137,65,46,160,red
135,134,63,45,163,red
136,135,63,46,164,red
136,136,62,46,164,red
135,133,62,45,165,red
135,136,64,46,159,red
137,136,64,47,164,red
136,135,63,45,165,red
137,134,62,45,170,red
133,133,62,46,158,red
132,130,62,45,159,red
132,133,61,45,157,red
133,130,62,45,162,red
132,133,61,45,157,red
133,132,63,44,160,red
132,132,62,45,157,red
132,133,61,45,157,red
133,131,62,44,162,red
132,133,62,45,156,red
133,132,63,46,158,red
132,130,62,45,159,red
132,132,62,45,157,red
133,132,63,46,158,red
131,130,62,45,156,red
133,132,63,47,157,red
131,132,62,45,154,red
133,132,62,46,159,red
132,130,62,44,160,red
132,133,62,45,156,red
133,133,62,46,158,red
131,130,62,45,156,red
132,133,62,46,155,red
132,130,62,45,159,red
132,133,62,45,156,red
132,130,62,45,159,red
132,133,61,45,157,red
133,132,63,46,158,red
132,133,62,46,155,red
133,132,63,46,158,red
132,133,63,46,154,red
133,133,63,46,157,red
132,133,62,45,156,red
133,132,63,46,158,red
132,133,62,45,156,red
134,131,63,45,163,red
132,133,62,45,156,red
133,132,63,47,157,red
133,133,62,46,158,red
132,131,62,45,158,red
132,133,62,46,155,red
132,131,62,45,158,red
133,133,62,46,158,red
133,131,63,44,161,red
132,133,62,45,156,red
133,132,63,46,158,red
133,133,62,45,159,red
133,133,62,46,158,red
132,131,62,46,157,red
133,133,62,46,158,red
132,131,62,45,158,red
133,131,62,45,161,red
132,133,63,47,153,red
132,131,62,46,157,red
133,132,63,46,158,red
132,131,62,45,158,red
133,131,63,44,161,red
132,133,62,46,155,red
133,131,62,45,161,red
133,133,62,46,158,red
134,131,62,46,163,red
133,134,62,46,157,red
133,131,62,45,161,red
133,133,62,47,157,red
132,133,63,46,154,red
133,133,63,47,156,red
132,132,63,46,155,red
133,134,62,46,157,red
132,132,63,45,156,red
133,134,63,46,156,red
133,134,64,47,154,red
132,132,62,46,156,red
133,133,64,46,156,red
133,133,63,46,157,red
133,134,62,47,156,red
132,131,62,45,158,red
133,134,63,47,155,red
132,132,62,46,156,red
133,134,62,47,156,red
132,132,63,45,156,red
133,134,62,47,156,red
133,133,63,46,157,red
134,133,64,45,160,red
133,134,63,46,156,red
134,133,64,45,160,red
133,134,62,46,157,red
134,133,62,47,160,red
132,132,62,45,157,red
133,134,63,46,156,red
134,131,62,45,164,red
133,134,62,46,157,red
132,131,62,46,157,red
133,134,62,47,156,red
132,132,62,46,156,red
133,134,62,46,157,red
134,133,64,46,159,red
133,133,63,46,157,red
134,133,64,46,159,red
133,133,63,46,157,red
133,134,62,47,156,red
132,131,62,45,158,red
133,134,62,46,157,red
133,133,64,47,155,red
132,131,62,46,157,red
133,133,62,47,157,red
132,132,63,46,155,red
133,133,62,47,157,red
132,132,63,46,155,red
133,133,63,46,157,red
133,131,63,46,159,red
134,133,64,47,158,red
132,133,63,46,154,red
134,133,63,46,160,red
132,131,62,46,157,red
134,133,64,46,159,red
133,134,62,46,157,red
134,132,64,45,161,red
133,134,62,46,157,red
133,131,63,45,160,red
133,134,62,47,156,red
133,131,62,45,161,red
133,134,62,47,156,red
133,131,62,45,161,red
133,134,63,47,155,red
132,131,62,46,157,red
134,131,62,45,164,red
133,134,62,46,157,red
133,131,62,45,161,red
133,134,62,46,157,red
133,131,62,46,160,red
134,133,64,47,158,red
132,133,63,46,154,red
133,134,62,47,156,red
132,133,63,46,154,red
134,133,64,47,158,red
133,133,63,45,158,red
133,134,63,46,156,red
135,132,62,45,166,red
133,134,63,46,156,red
133,133,64,45,157,red
133,134,63,46,156,red
133,134,63,47,155,red
133,131,62,45,161,red
133,134,62,46,157,red
134,131,62,45,164,red
133,134,62,46,157,red
132,131,63,46,156,red
133,133,63,47,156,red
132,132,62,46,156,red
133,133,62,46,158,red
133,131,62,45,161,red
133,133,63,47,156,red
132,131,62,46,157,red
133,133,63,47,156,red
133,131,63,45,160,red
133,133,63,47,156,red
133,131,62,45,161,red
133,134,62,47,156,red
133,131,62,45,161,red
133,134,62,46,157,red
134,133,64,46,159,red
133,134,62,46,157,red
133,131,62,46,160,red
133,133,63,47,156,red
132,132,62,45,157,red
133,133,63,47,156,red
133,133,63,46,157,red
134,133,64,47,158,red
132,131,62,45,158,red
133,133,64,46,156,red
132,132,62,45,157,red
133,133,63,47,156,red
133,131,62,45,161,red
133,134,62,46,157,red
133,131,62,46,160,red
133,132,63,45,159,red
133,134,63,46,156,red
134,131,62,45,164,red
133,134,62,46,157,red
133,131,62,46,160,red
133,133,63,47,156,red
132,133,63,46,154,red
133,134,63,46,156,red
132,132,63,46,155,red
133,134,62,46,157,red
133,132,63,46,158,red
133,134,63,46,156,red
133,131,62,45,161,red
133,134,62,46,157,red
134,131,62,45,164,red
133,134,63,46,156,red
133,133,63,47,156,red
132,131,62,46,157,red
133,134,62,47,156,red
132,131,62,46,157,red
135,131,63,45,166,red
133,133,63,46,157,red
134,131,62,45,164,red
133,133,63,46,157,red
135,131,62,45,167,red
133,134,62,46,157,red
134,131,63,45,163,red
133,134,63,46,156,red
135,132,63,45,165,red
133,134,63,46,156,red
134,133,63,47,159,red
133,131,62,45,161,red
133,133,63,47,156,red
132,131,62,46,157,red
133,133,64,46,156,red
133,134,62,46,157,red
135,131,62,45,167,red
133,134,62,46,157,red
135,131,62,45,167,red
133,134,62,46,157,red
133,131,62,46,160,red
133,134,62,46,157,red
133,131,62,46,160,red
133,133,63,47,156,red
132,133,63,46,154,red
133,133,63,47,156,red
132,133,63,45,155,red
133,134,62,46,157,red
133,132,62,46,159,red
133,134,62,46,157,red
133,131,62,46,160,red
133,134,63,47,155,red
132,132,63,46,155,red
134,133,63,47,159,red
132,133,63,46,154,red
134,133,64,47,158,red
133,133,62,46,158,red
134,131,63,45,163,red
133,133,64,47,155,red
133,133,63,45,158,red
133,134,62,47,156,red
133,131,62,46,160,red
133,133,63,47,156,red
132,131,62,46,157,red
133,133,63,47,156,red
133,132,63,46,158,red
133,133,64,46,156,red
133,133,63,46,157,red
134,132,63,45,162,red
133,134,63,46,156,red
135,132,62,46,165,red
133,133,63,46,157,red
132,134,63,46,153,red
134,133,64,46,159,red
133,134,62,46,157,red
133,131,62,45,161,red
133,133,63,47,156,red
132,132,63,46,155,red
133,133,63,47,156,red
132,131,62,46,157,red
134,133,64,45,160,red
133,134,63,46,156,red
134,132,63,45,162,red
133,134,62,46,157,red
134,131,62,46,163,red
133,134,62,46,157,red
133,132,62,45,160,red
133,133,62,46,158,red
134,131,62,45,164,red
133,134,62,46,157,red
131,133,63,46,151,red
133,133,64,47,155,red
133,133,63,46,157,red
133,134,62,46,157,red
133,131,62,46,160,red
133,133,62,47,157,red
132,132,63,46,155,red
133,133,63,47,156,red
132,132,63,46,155,red
133,133,63,47,156,red
133,133,63,46,157,red
134,133,64,47,158,red
133,133,63,46,157,red
134,132,64,45,161,red
133,134,62,46,157,red
133,131,63,45,160,red
133,133,63,47,156,red
132,131,62,45,158,red
133,134,63,47,155,red
132,131,62,46,157,red
133,133,64,46,156,red
133,133,63,46,157,red
133,133,64,46,156,red
133,133,63,46,157,red
134,132,63,46,161,red
133,133,62,46,158,red
132,133,63,46,154,red
133,133,63,47,156,red
133,134,62,46,157,red
133,131,62,46,160,red
133,133,64,46,156,red
133,131,62,45,161,red
133,133,64,47,155,red
132,132,62,46,156,red
134,133,64,47,158,red
132,133,63,46,154,red
134,131,62,45,164,red
133,134,62,46,157,red
133,131,62,46,160,red
133,133,62,46,158,red
132,131,62,46,157,red
134,133,63,47,159,red
132,133,63,46,154,red
135,132,63,45,165,red
133,134,62,46,157,red
133,131,62,46,160,red
133,134,62,46,157,red
132,131,62,46,157,red
133,133,63,47,156,red
132,132,62,46,156,red
133,133,63,47,156,red
132,131,62,46,157,red
133,133,64,46,156,red
133,133,63,46,157,red
134,131,62,45,164,red
133,134,62,46,157,red
134,131,62,45,164,red
133,134,62,46,157,red
133,131,62,45,161,red
133,133,63,47,156,red
132,133,62,46,155,red
133,133,64,46,156,red
133,133,62,46,158,red
134,133,64,47,158,red
131,133,62,46,152,red
134,131,63,45,163,red
133,134,63,47,155,red
133,131,62,45,161,red
133,133,62,47,157,red
132,131,62,46,157,red
134,131,62,45,164,red
133,134,62,46,157,red
133,131,62,46,160,red
133,133,62,46,158,red
132,132,63,46,155,red
133,133,62,46,158,red
131,132,63,46,152,red
133,133,62,47,157,red
132,133,62,46,155,red
134,132,63,46,161,red
133,133,63,46,157,red
134,133,64,45,160,red
133,134,63,47,155,red
133,131,62,45,161,red
133,133,64,47,155,red
132,131,62,46,157,red
134,131,63,45,163,red
133,134,63,46,156,red
134,132,63,45,162,red
133,134,62,46,157,red
134,131,62,46,163,red
133,133,63,47,156,red
132,133,63,46,154,red
133,134,62,46,157,red
132,133,63,46,154,red
133,133,63,46,157,red
133,133,62,46,158,red
134,132,64,45,161,red
133,133,63,47,156,red
133,133,63,46,157,red
134,132,63,45,162,red
133,133,62,46,158,red
134,131,62,45,164,red
133,133,62,46,158,red
132,131,62,46,157,red
133,133,63,47,156,red
132,133,63,46,154,red
133,133,62,47,157,red
131,133,63,46,151,red
134,133,64,47,158,red
132,131,62,46,157,red
133,133,63,47,156,red
132,133,63,46,154,red
134,133,64,46,159,red
133,133,62,46,158,red
133,131,62,45,161,red
134,131,62,45,164,red
133,133,63,46,157,red
134,131,62,46,163,red
133,133,64,47,155,red
133,133,63,46,157,red
134,131,62,45,164,red
133,134,62,46,157,red
132,131,62,45,158,red
133,133,63,47,156,red
133,131,62,45,161,red
133,133,63,47,156,red
132,131,62,46,157,red
133,132,64,46,157,red
133,134,62,46,157,red
134,131,62,45,164,red
133,134,62,46,157,red
133,131,62,45,161,red
133,133,63,46,157,red
132,131,62,45,158,red
134,133,64,47,158,red
132,133,63,46,154,red
133,133,63,47,156,red
133,134,62,46,157,red
134,133,64,47,158,red
133,133,62,46,158,red
133,131,62,45,161,red
133,133,63,47,156,red
132,131,62,46,157,red
134,131,63,45,163,red
133,134,62,46,157,red
134,131,62,46,163,red
133,133,63,47,156,red
132,132,63,46,155,red
134,133,63,47,159,red
132,132,63,46,155,red
134,133,63,47,159,red
133,133,62,46,158,red
134,132,64,46,160,red
133,134,62,46,157,red
134,133,63,47,159,red
132,133,62,46,155,red
134,133,63,47,159,red
132,132,63,46,155,red
133,133,62,46,158,red
134,133,64,45,160,red
133,134,62,46,157,red
134,133,64,45,160,red
133,133,63,46,157,red
133,133,64,45,157,red
133,133,63,46,157,red
133,133,64,46,156,red
132,132,63,45,156,red
133,134,63,47,155,red
132,131,62,46,157,red
133,134,63,47,155,red
132,131,62,45,158,red
133,134,62,46,157,red
133,131,62,45,161,red
133,133,62,46,158,red
133,130,63,45,161,red
133,133,63,47,156,red
132,131,62,46,157,red
133,134,63,47,155,red
132,131,62,46,157,red
134,132,63,45,162,red
133,133,63,46,157,red
134,132,63,45,162,red
133,134,63,46,156,red
133,133,64,47,155,red
132,133,63,46,154,red
133,133,63,47,156,red
132,132,62,46,156,red
133,133,63,47,156,red
132,131,62,46,157,red
133,133,62,47,157,red
132,131,62,45,158,red
133,134,62,46,157,red
132,131,62,44,159,red
133,134,62,46,157,red
133,131,62,45,161,red
133,133,62,46,158,red
133,133,64,47,155,red
133,132,63,46,158,red
133,134,62,46,157,red
132,132,63,46,155,red
133,133,63,46,157,red
132,131,63,46,156,red
133,133,63,47,156,red
132,132,63,45,156,red
133,134,62,46,157,red
132,132,63,46,155,red
133,133,63,47,156,red
132,132,62,45,157,red
133,134,63,46,156,red
134,131,62,45,164,red
133,133,62,46,158,red
134,131,63,45,163,red
133,133,62,46,158,red
134,131,63,45,163,red
133,134,63,46,156,red
134,133,63,46,160,red
132,133,62,46,155,red
133,133,62,46,158,red
133,130,62,45,162,red
133,133,63,47,156,red
133,131,62,45,161,red
133,133,62,46,158,red
133,132,63,45,159,red
133,134,62,46,157,red
134,133,63,47,159,red
133,133,62,46,158,red
134,133,64,46,159,red
132,133,63,46,154,red
133,134,62,46,157,red
132,132,63,46,155,red
133,134,62,46,157,red
133,131,62,45,161,red
133,134,63,46,156,red
135,132,62,46,165,red
133,134,62,46,157,red
133,131,62,45,161,red
133,133,62,46,158,red
134,133,64,46,159,red
133,132,62,46,159,red
134,133,64,47,158,red
132,131,62,45,158,red
133,133,63,47,156,red
132,131,62,45,158,red
133,133,63,46,157,red
133,131,62,46,160,red
133,133,63,47,156,red
132,132,63,45,156,red
133,133,62,46,158,red
133,131,62,45,161,red
133,133,62,47,157,red
132,131,62,45,158,red
133,133,62,46,158,red
133,131,62,45,161,red
133,134,62,46,157,red
134,133,64,46,159,red
133,134,62,46,157,red
134,133,63,47,159,red
132,133,62,46,155,red
133,133,62,46,158,red
132,133,63,46,154,red
133,134,62,46,157,red
132,132,63,46,155,red
133,134,62,46,157,red
133,132,63,46,158,red
133,133,62,46,158,red
132,131,62,46,157,red
133,133,63,46,157,red
132,131,62,46,157,red
133,133,63,47,156,red
132,131,62,45,158,red
133,134,63,46,156,red
133,133,63,47,156,red
132,131,62,46,157,red
134,131,62,45,164,red
133,133,62,46,158,red
133,131,62,45,161,red
133,133,62,46,158,red
133,131,62,46,160,red
133,133,62,46,158,red
132,131,62,45,158,red
133,134,62,46,157,red
134,131,62,44,165,red
133,134,62,46,157,red
134,131,62,45,164,red
133,133,62,46,158,red
134,131,63,45,163,red
133,134,63,46,156,red
134,133,63,47,159,red
132,131,62,46,157,red
133,133,63,46,157,red
133,133,63,45,158,red
133,133,63,46,157,red
133,131,62,45,161,red
133,133,62,46,158,red
133,133,62,46,158,red
132,132,62,45,157,red
133,133,62,46,158,red
133,131,62,46,160,red
132,133,62,46,155,red
134,131,62,45,164,red
133,134,62,46,157,red
133,131,62,45,161,red
133,133,62,46,158,red
134,131,62,44,165,red
133,133,62,46,158,red
134,131,63,44,164,red
133,133,62,46,158,red
134,133,63,46,160,red
132,131,62,45,158,red
133,133,64,46,156,red
133,133,62,46,158,red
134,133,64,47,158,red
132,132,62,45,157,red
133,133,64,47,155,red
132,131,62,45,158,red
133,133,63,46,157,red
133,133,63,46,157,red
134,133,63,47,159,red
132,131,62,45,158,red
133,133,63,47,156,red
133,133,63,46,157,red
134,133,64,46,159,red
132,133,63,46,154,red
134,132,64,47,159,red
132,131,62,46,157,red
133,133,63,46,157,red
132,131,62,45,158,red
133,132,63,46,158,red
133,133,63,46,157,red
133,133,64,47,155,red
133,133,63,46,157,red
134,133,63,46,160,red
133,131,62,45,161,red
133,133,63,47,156,red
132,131,62,46,157,red
133,133,63,46,157,red
133,130,62,45,162,red
133,133,62,47,157,red
132,131,62,45,158,red
133,133,63,46,157,red
133,131,62,45,161,red
133,133,63,46,157,red
132,131,62,46,157,red
133,133,62,46,158,red
133,131,63,45,160,red
133,133,62,46,158,red
133,131,63,45,160,red
133,133,63,47,156,red
132,132,62,46,156,red
133,133,63,47,156,red
132,131,62,46,157,red
133,133,62,46,158,red
133,131,63,45,160,red
133,133,62,46,158,red
133,133,62,46,158,red
132,131,62,46,157,red
133,133,62,46,158,red
132,131,62,46,157,red
133,133,62,46,158,red
133,131,62,46,160,red
133,134,62,46,157,red
133,131,62,45,161,red
133,134,62,46,157,red
133,131,62,46,160,red
134,133,63,46,160,red
132,133,63,46,154,red
133,134,62,46,157,red
133,131,62,46,160,red
133,133,63,47,156,red
133,133,62,46,158,red
133,133,62,46,158,red
131,133,62,46,152,red
134,132,64,45,161,red
133,134,62,46,157,red
133,133,63,47,156,red
131,132,62,45,154,red
133,133,62,46,158,red
133,131,62,46,160,red
133,134,62,46,157,red
134,131,62,46,163,red
134,133,63,47,159,red
133,134,62,46,157,red
133,133,63,46,157,red
133,131,62,46,160,red
133,133,62,47,157,red
132,131,62,46,157,red
132,131,62,45,158,red
133,132,63,47,157,red
132,133,63,46,154,red
133,133,63,46,157,red
132,132,63,46,155,red
133,133,64,45,157,red
133,133,62,46,158,red
133,131,62,46,160,red
134,131,62,45,164,red
133,134,62,47,156,red
132,131,62,46,157,red
133,133,63,47,156,red
133,133,63,46,157,red
133,133,64,45,157,red
133,133,63,46,157,red
134,133,63,45,161,red
133,134,62,46,157,red
134,133,64,45,160,red
133,133,62,46,158,red
134,133,63,45,161,red
133,133,62,46,158,red
133,133,63,47,156,red
132,131,62,46,157,red
133,133,62,47,157,red
132,133,63,46,154,red
134,131,63,45,163,red
133,133,64,46,156,red
132,133,63,46,154,red
134,133,64,45,160,red
133,133,63,45,158,red
134,131,62,45,164,red
133,134,62,46,157,red
133,131,63,45,160,red
133,133,62,46,158,red
133,132,62,46,159,red
133,133,63,46,157,red
132,131,62,46,157,red
