White,Red,Green,Blue,Total,color_label
167,108,127,143,123,white
250,135,145,155,315,white
268,147,151,158,348,white
273,151,155,160,353,white
276,155,156,161,356,white
278,155,157,162,360,white
280,159,160,162,359,white
281,159,159,162,363,white
282,161,161,163,361,white
282,159,159,162,366,white
281,161,161,163,358,white
282,162,161,163,360,white
282,160,160,163,363,white
281,162,161,163,357,white
283,163,160,162,364,white
282,160,161,163,362,white
282,162,161,163,360,white
282,160,160,162,364,white
282,162,161,163,360,white
283,163,161,163,362,white
283,161,160,162,366,white
282,162,161,162,361,white
282,163,161,163,359,white
283,160,160,162,367,white
282,163,162,163,358,white
283,163,161,163,362,white
283,161,160,162,366,white
282,160,160,162,364,white
282,163,161,163,359,white
283,164,162,162,361,white
283,163,162,162,362,white
282,161,160,162,363,white
282,162,161,163,360,white
283,164,162,162,361,white
283,163,160,162,364,white
282,160,160,162,364,white
282,163,161,162,360,white
283,163,162,162,362,white
282,160,160,162,364,white
281,163,161,162,357,white
282,163,160,162,361,white
282,160,160,162,364,white
282,162,161,162,361,white
283,163,162,162,362,white
282,163,161,162,360,white
282,162,160,162,362,white
282,160,161,162,363,white
283,163,162,162,362,white
283,161,160,161,367,white
282,160,160,162,364,white
282,162,160,162,362,white
283,163,162,162,362,white
283,163,160,162,364,white
282,161,161,162,362,white
282,163,161,162,360,white
283,163,161,162,363,white
282,163,161,162,360,white
282,162,160,162,362,white
282,161,159,161,365,white
282,160,159,161,366,white
281,162,160,162,359,white
283,163,162,162,362,white
282,163,161,162,360,white
282,163,160,161,362,white
282,160,160,161,365,white
281,162,160,162,359,white
282,163,162,162,359,white
282,163,161,161,361,white
282,161,160,161,364,white
282,160,160,162,364,white
282,163,161,162,360,white
283,163,161,162,363,white
282,162,160,161,363,white
281,161,160,162,360,white
282,163,161,162,360,white
282,163,161,161,361,white
282,163,160,161,362,white
282,160,159,161,366,white
281,162,161,161,359,white
282,163,161,161,361,white
282,161,160,161,364,white
281,160,159,161,363,white
281,162,160,161,360,white
282,162,161,162,361,white
282,163,161,162,360,white
282,163,161,161,361,white
282,162,160,161,363,white
281,160,159,161,363,white
282,163,161,161,361,white
282,163,160,161,362,white
282,162,159,161,364,white
281,161,159,161,362,white
281,161,160,161,361,white
282,163,161,161,361,white
282,162,160,161,363,white
281,160,159,161,363,white
281,161,160,161,361,white
282,162,161,161,362,white
282,163,160,161,362,white
282,162,159,161,364,white
281,160,159,161,363,white
281,162,161,161,359,white
282,162,161,161,362,white
282,162,160,161,363,white
282,162,160,161,363,white
282,161,159,161,365,white
282,161,159,161,365,white
281,160,159,161,363,white
281,160,159,161,363,white
281,162,160,161,360,white
281,162,160,161,360,white
282,163,161,161,361,white
281,160,159,161,363,white
281,160,159,160,364,white
281,160,159,161,363,white
281,161,160,161,361,white
281,162,160,161,360,white
281,162,160,161,360,white
282,162,161,161,362,white
281,162,159,161,361,white
281,160,159,160,364,white
281,161,160,161,361,white
282,162,160,162,362,white
282,162,161,161,362,white
282,162,161,161,362,white
281,162,159,161,361,white
281,160,160,161,362,white
282,162,161,161,362,white
281,162,160,161,360,white
281,162,159,161,361,white
281,160,159,160,364,white
281,159,159,161,364,white
281,162,160,161,360,white
282,162,161,161,362,white
281,162,160,161,360,white
281,159,159,161,364,white
281,161,159,161,362,white
281,161,159,161,362,white
282,162,161,161,362,white
282,162,160,161,363,white
281,162,159,161,361,white
281,160,159,161,363,white
282,162,161,161,362,white
281,162,161,161,359,white
281,162,161,161,359,white
281,162,160,161,360,white
281,160,159,160,364,white
281,159,159,160,365,white
280,160,159,161,360,white
282,162,161,161,362,white
281,162,160,161,360,white
281,160,159,160,364,white
281,159,159,160,365,white
280,160,160,161,359,white
282,162,160,160,364,white
281,162,160,161,360,white
281,161,159,160,363,white
281,159,159,160,365,white
281,160,159,160,364,white
281,161,160,161,361,white
