White,Red,Green,Blue,Total,color_label
178,115,131,146,142,white
254,138,148,157,319,white
270,150,155,161,344,white
275,154,158,162,351,white
277,157,159,163,352,white
279,157,159,163,358,white
280,157,160,164,359,white
280,158,159,164,359,white
280,158,160,164,358,white
281,160,161,165,357,white
281,162,162,164,355,white
281,162,161,164,356,white
281,160,161,164,358,white
281,160,161,164,358,white
281,161,161,164,357,white
281,161,161,164,357,white
281,160,161,164,358,white
282,161,161,164,360,white
282,163,162,165,356,white
282,163,162,164,357,white
282,163,162,164,357,white
282,163,161,164,358,white
282,163,161,164,358,white
282,161,161,164,360,white
282,161,161,164,360,white
282,160,161,163,362,white
281,163,162,164,354,white
282,163,162,164,357,white
281,162,161,163,357,white
282,163,162,164,357,white
282,163,162,164,357,white
282,163,163,163,357,white
282,163,162,164,357,white
282,163,162,163,358,white
282,163,161,163,359,white
282,163,161,163,359,white
282,163,161,163,359,white
282,163,161,163,359,white
281,163,162,163,355,white
281,163,161,163,356,white
281,163,161,163,356,white
281,162,161,163,357,white
281,160,160,162,361,white
281,161,160,162,360,white
281,162,161,163,357,white
281,163,162,163,355,white
281,163,162,163,355,white
281,163,162,162,356,white
281,162,162,163,356,white
282,163,161,162,360,white
281,163,162,163,355,white
281,162,162,163,356,white
281,163,162,162,356,white
281,163,162,163,355,white
281,163,162,163,355,white
281,163,162,163,355,white
281,162,161,163,357,white
281,163,161,163,356,white
280,162,161,163,354,white
281,162,160,162,359,white
280,161,160,162,357,white
280,161,160,162,357,white
281,161,160,162,360,white
280,160,160,162,358,white
280,160,159,162,359,white
280,159,160,163,358,white
281,161,160,162,360,white
280,160,160,162,358,white
280,160,160,162,358,white
280,159,159,162,360,white
280,161,160,162,357,white
280,160,160,162,358,white
280,162,160,162,356,white
280,161,160,162,357,white
280,162,161,162,355,white
280,162,161,162,355,white
281,162,161,162,358,white
280,161,159,162,358,white
280,159,159,161,361,white
280,159,159,161,361,white
280,159,159,161,361,white
280,159,159,161,361,white
280,159,159,161,361,white
279,160,159,161,357,white
280,159,159,161,361,white
280,160,160,162,358,white
280,162,161,162,355,white
280,162,161,162,355,white
281,162,161,162,358,white
280,162,161,162,355,white
280,162,161,162,355,white
281,162,161,162,358,white
280,162,160,162,356,white
280,161,160,162,357,white
280,160,159,161,360,white
280,159,159,161,361,white
279,159,158,161,359,white
280,159,159,161,361,white
280,161,159,161,359,white
280,161,160,161,358,white
280,161,161,162,356,white
280,162,161,162,355,white
280,161,160,162,357,white
279,160,159,161,357,white
279,159,159,161,358,white
279,160,159,161,357,white
280,161,159,161,359,white
279,158,159,161,359,white
279,159,158,161,359,white
279,160,159,161,357,white
280,161,159,161,359,white
279,161,160,161,355,white
279,161,160,161,355,white
280,161,160,161,358,white
280,161,160,161,358,white
279,160,159,160,358,white
279,158,158,160,361,white
279,161,159,161,356,white
279,161,160,161,355,white
279,161,160,161,355,white
280,161,160,161,358,white
280,161,159,161,359,white
280,161,160,161,358,white
279,160,158,160,359,white
279,158,158,160,361,white
279,159,158,160,360,white
279,161,160,161,355,white
279,161,159,161,356,white
279,161,160,161,355,white
279,161,160,161,355,white
280,161,160,161,358,white
279,161,159,161,356,white
279,161,159,161,356,white
279,159,158,160,360,white
278,159,158,160,357,white
279,160,160,160,357,white
279,161,159,160,357,white
279,160,159,160,358,white
279,160,159,160,358,white
279,161,160,161,355,white
279,161,159,161,356,white
278,159,158,160,357,white
278,158,158,160,358,white
279,160,158,160,359,white
278,158,158,160,358,white
279,159,158,160,360,white
279,161,160,161,355,white
279,160,158,160,359,white
278,158,157,160,359,white
279,159,158,160,360,white
278,160,160,160,354,white
279,161,160,161,355,white
279,161,160,160,356,white
279,160,159,160,358,white
278,158,158,160,358,white
278,158,158,160,358,white
278,160,159,161,354,white
279,160,159,160,358,white
278,158,157,160,359,white
279,160,159,160,358,white
279,160,159,160,358,white
279,161,159,160,357,white
279,161,160,160,356,white
279,160,159,160,358,white
278,158,157,160,359,white
279,159,158,160,360,white
279,161,159,161,356,white
279,160,159,161,357,white
278,160,159,160,355,white
279,160,159,161,357,white
279,160,158,160,359,white
278,158,158,160,358,white
278,158,157,159,360,white
278,158,158,160,358,white
278,158,158,160,358,white
278,158,157,160,359,white
279,160,158,160,359,white
279,160,159,160,358,white
278,160,159,160,355,white
279,160,158,160,359,white
278,158,157,160,359,white
278,157,157,160,360,white
279,159,158,160,360,white
279,160,158,160,359,white
279,160,159,160,358,white
278,161,159,160,354,white
279,160,158,160,359,white
278,159,158,160,357,white
278,157,157,160,360,white
278,158,157,160,359,white
279,159,158,160,360,white
279,160,158,160,359,white
278,160,159,161,354,white
279,160,158,160,359,white
278,158,157,160,359,white
278,158,158,160,358,white
279,160,159,160,358,white
279,160,159,160,358,white
279,160,160,160,357,white
279,160,159,161,357,white
279,160,158,160,359,white
278,158,157,160,359,white
279,160,158,160,359,white
279,160,159,160,358,white
278,160,160,160,354,white
279,161,159,160,357,white
279,160,160,161,356,white
279,161,160,161,355,white
279,160,159,161,357,white
278,158,157,160,359,white
279,159,158,160,360,white
278,159,158,160,357,white
279,158,157,160,362,white
278,158,158,160,358,white
279,159,159,160,359,white
279,161,160,161,355,white
279,160,159,161,357,white
278,158,158,160,358,white
279,159,158,160,360,white
