White,Red,Green,Blue,Total,color_label
221,143,163,166,191,white
294,172,181,175,354,white
309,178,185,178,386,white
313,184,187,180,388,white
315,185,189,181,390,white
317,189,190,181,391,white
317,187,189,180,395,white
318,189,191,181,393,white
318,190,190,181,393,white
317,188,190,181,392,white
319,191,191,181,394,white
318,188,191,181,394,white
319,191,192,181,393,white
319,190,190,181,396,white
318,188,190,181,395,white
319,192,192,181,392,white
319,191,190,180,396,white
318,189,190,181,394,white
319,192,192,181,392,white
319,190,190,180,397,white
318,192,192,181,389,white
319,191,190,180,396,white
318,188,190,180,396,white
318,191,191,181,391,white
318,192,191,180,391,white
318,189,189,180,396,white
318,191,191,180,392,white
319,192,190,180,395,white
318,188,189,180,397,white
317,191,191,180,389,white
318,191,191,180,392,white
318,189,189,180,396,white
317,188,190,180,393,white
319,191,191,180,395,white
318,188,189,180,397,white
317,190,190,180,391,white
318,191,191,180,392,white
318,191,189,180,394,white
317,188,189,179,395,white
318,191,190,179,394,white
318,191,191,180,392,white
318,190,189,179,396,white
317,188,189,179,395,white
318,191,191,180,392,white
318,191,191,179,393,white
318,190,189,179,396,white
317,187,189,179,396,white
316,190,190,180,388,white
318,191,190,179,394,white
318,189,189,179,397,white
317,190,190,179,392,white
318,191,191,179,393,white
317,190,189,179,393,white
317,188,188,179,396,white
318,191,190,179,394,white
318,190,190,179,395,white
318,190,189,179,396,white
317,187,188,179,397,white
317,189,189,179,394,white
317,190,189,179,393,white
317,190,190,179,392,white
318,191,190,179,394,white
317,190,189,179,393,white
316,187,188,179,394,white
318,190,190,179,395,white
317,190,190,179,392,white
317,190,189,179,393,white
317,188,188,178,397,white
316,187,188,178,395,white
316,187,188,179,394,white
317,190,190,179,392,white
318,190,190,178,396,white
317,189,188,178,396,white
316,187,188,178,395,white
316,187,188,178,395,white
316,187,188,178,395,white
317,189,189,178,395,white
317,190,189,179,393,white
317,187,188,178,398,white
317,190,189,179,393,white
317,190,190,178,393,white
317,190,190,178,393,white
317,190,188,178,395,white
316,188,188,178,394,white
316,187,187,178,396,white
316,189,189,178,392,white
317,190,190,178,393,white
316,190,189,178,391,white
316,187,187,178,396,white
316,187,187,178,396,white
316,187,187,178,396,white
316,187,188,178,395,white
316,189,189,178,392,white
316,189,189,178,392,white
317,187,187,177,400,white
316,186,187,177,398,white
316,186,188,178,396,white
317,190,189,178,394,white
317,190,189,178,394,white
316,190,188,178,392,white
316,186,187,177,398,white
315,188,188,178,391,white
316,189,189,178,392,white
316,189,188,178,393,white
316,189,188,178,393,white
316,188,188,177,395,white
316,187,187,177,397,white
315,186,187,177,395,white
316,186,187,177,398,white
316,188,188,178,394,white
316,189,189,178,392,white
317,190,189,178,394,white
316,190,189,178,391,white
316,189,189,178,392,white
316,189,188,178,393,white
316,188,187,177,396,white
315,186,187,177,395,white
316,186,187,177,398,white
315,188,187,178,392,white
316,189,189,178,392,white
316,189,189,178,392,white
316,189,188,178,393,white
316,188,188,177,395,white
316,188,188,177,395,white
316,187,187,177,397,white
316,188,187,177,396,white
315,186,187,178,394,white
316,189,189,178,392,white
316,189,188,177,394,white
316,189,188,177,394,white
316,189,188,177,394,white
316,189,188,178,393,white
316,188,187,177,396,white
315,187,187,177,394,white
315,187,187,177,394,white
315,188,189,178,390,white
316,189,189,178,392,white
316,189,188,177,394,white
316,188,187,177,396,white
316,188,187,177,396,white
315,186,187,177,395,white
315,186,187,177,395,white
315,188,188,178,391,white
316,189,189,177,393,white
316,189,188,177,394,white
316,189,188,177,394,white
316,188,187,177,396,white
315,186,186,177,396,white
315,186,186,177,396,white
315,187,188,177,393,white
316,189,188,178,393,white
316,189,189,177,393,white
316,189,189,177,393,white
316,189,188,177,394,white
316,188,187,177,396,white
315,188,187,177,393,white
316,188,187,177,396,white
315,186,186,177,396,white
315,185,186,176,398,white
315,186,186,177,396,white
315,188,188,177,392,white
316,189,189,177,393,white
316,189,189,177,393,white
316,189,189,177,393,white
315,189,188,177,391,white
315,188,187,177,393,white
315,185,186,177,397,white
314,187,187,177,391,white
315,188,187,177,393,white
316,189,188,177,394,white
316,189,188,177,394,white
316,189,189,177,393,white
316,189,188,177,394,white
315,186,186,177,396,white
314,186,186,177,393,white
314,185,186,177,394,white
314,186,187,177,392,white
315,188,187,177,393,white
316,189,188,177,394,white
316,188,188,177,395,white
316,187,187,177,397,white
314,185,186,176,395,white
315,185,186,176,398,white
314,185,186,177,394,white
315,187,187,177,394,white
315,187,187,177,394,white
315,188,187,177,393,white
315,188,188,177,392,white
316,187,187,177,397,white
314,185,186,176,395,white
314,185,186,176,395,white
314,185,186,176,395,white
314,185,186,176,395,white
314,186,187,177,392,white
316,188,188,177,395,white
315,188,188,177,392,white
315,188,188,177,392,white
315,188,187,177,393,white
315,187,186,177,395,white
314,186,186,176,394,white
314,186,187,177,392,white
314,186,186,177,393,white
315,188,188,177,392,white
315,188,188,177,392,white
316,188,188,177,395,white
315,188,188,177,392,white
315,188,188,177,392,white
315,188,188,176,393,white
315,187,186,176,396,white
314,185,185,176,396,white
314,185,186,176,395,white
314,185,186,176,395,white
314,186,186,176,394,white
315,188,187,176,394,white
315,188,187,176,394,white
315,187,187,176,395,white
315,186,186,176,397,white
314,186,186,176,394,white
314,187,187,176,392,white
314,187,187,176,392,white
314,187,187,177,391,white
315,188,188,177,392,white
315,188,187,177,393,white
316,188,187,176,397,white
315,188,187,176,394,white
315,186,186,176,397,white
315,186,186,176,397,white
314,187,186,176,393,white
314,185,185,176,396,white
314,185,186,176,395,white
314,185,187,177,393,white
315,188,188,177,392,white
315,188,188,176,393,white
315,188,188,177,392,white
315,188,188,177,392,white
315,188,188,177,392,white
315,188,187,176,394,white
315,188,186,176,395,white
314,187,186,176,393,white
314,185,185,176,396,white
314,185,186,176,395,white
314,184,186,176,396,white
314,185,186,176,395,white
314,186,186,177,393,white
315,188,187,176,394,white
315,187,186,176,396,white
315,187,186,176,396,white
314,186,186,176,394,white
314,185,185,176,396,white
314,185,185,176,396,white
314,185,185,176,396,white
314,187,187,176,392,white
315,188,188,177,392,white
315,188,188,176,393,white
315,188,188,176,393,white
315,188,188,176,393,white
315,188,187,176,394,white
315,188,187,176,394,white
314,187,186,176,393,white
314,185,185,176,396,white
314,186,186,176,394,white
314,188,188,176,390,white
315,188,187,176,394,white
315,188,187,176,394,white
314,185,186,176,395,white
314,185,186,176,395,white
314,186,185,176,395,white
313,185,185,176,393,white
314,185,185,176,396,white
314,185,185,175,397,white
314,185,185,176,396,white
314,185,185,176,396,white
314,185,186,176,395,white
314,186,186,176,394,white
315,188,187,176,394,white
315,188,188,176,393,white
315,188,188,176,393,white
315,188,188,176,393,white
314,188,188,176,390,white
315,188,187,176,394,white
314,187,186,176,393,white
314,185,185,175,397,white
314,184,185,176,397,white
314,186,186,176,394,white
314,185,185,176,396,white
315,188,188,177,392,white
315,188,187,176,394,white
314,188,187,176,391,white
314,187,187,176,392,white
315,188,188,177,392,white
315,188,187,177,393,white
315,188,187,176,394,white
315,188,188,177,392,white
315,188,187,176,394,white
314,188,187,176,391,white
314,187,186,176,393,white
314,186,186,176,394,white
314,185,185,176,396,white
314,184,185,175,398,white
314,186,185,176,395,white
314,185,185,176,396,white
313,184,185,175,395,white
313,186,186,176,391,white
314,187,186,176,393,white
315,188,187,177,393,white
314,187,187,176,392,white
315,188,187,176,394,white
315,188,187,176,394,white
314,187,187,176,392,white
314,187,186,175,394,white
314,186,185,175,396,white
313,184,185,175,395,white
313,184,185,175,395,white
313,184,185,175,395,white
314,184,185,176,397,white
313,185,185,175,394,white
313,186,186,176,391,white
313,185,185,176,393,white
313,186,185,176,392,white
313,185,185,175,394,white
313,184,185,175,395,white
313,185,185,176,393,white
314,187,186,176,393,white
314,188,187,176,391,white
314,187,187,176,392,white
314,188,186,176,392,white
313,185,185,176,393,white
313,184,185,175,395,white
