White,Red,Green,Blue,Total,color_label
222,145,165,168,188,white
297,171,181,177,362,white
312,178,185,180,393,white
316,183,187,181,397,white
318,184,188,182,400,white
320,186,189,182,403,white
320,186,189,182,403,white
321,187,190,183,403,white
321,189,191,183,400,white
323,191,193,183,402,white
322,191,193,183,399,white
323,191,192,183,403,white
322,192,193,183,398,white
323,192,193,183,401,white
322,192,193,183,398,white
323,191,191,182,405,white
322,191,192,183,400,white
322,190,191,182,403,white
322,190,192,182,402,white
322,190,191,182,403,white
322,189,191,182,404,white
322,189,191,182,404,white
322,190,191,182,403,white
323,191,192,182,404,white
322,191,192,182,401,white
323,190,191,182,406,white
322,190,191,182,403,white
322,190,191,182,403,white
322,189,191,181,405,white
322,190,191,182,403,white
322,191,191,182,402,white
322,189,190,181,406,white
322,189,191,182,404,white
322,190,191,182,403,white
321,191,191,181,400,white
322,189,190,181,406,white
321,189,191,181,402,white
322,191,192,182,401,white
321,190,191,181,401,white
322,192,191,181,402,white
322,190,191,181,404,white
321,189,190,181,403,white
322,190,191,181,404,white
322,191,191,181,403,white
322,190,190,181,405,white
322,189,190,181,406,white
321,190,190,181,402,white
321,188,190,181,404,white
321,188,189,181,405,white
321,189,190,181,403,white
322,191,192,181,402,white
322,192,192,181,401,white
322,192,192,181,401,white
322,192,191,181,402,white
322,191,192,181,402,white
322,191,192,181,402,white
322,191,190,181,404,white
321,188,190,181,404,white
321,189,190,181,403,white
321,190,190,181,402,white
321,191,191,181,400,white
321,191,190,181,401,white
321,190,191,181,401,white
321,191,192,181,399,white
322,191,192,181,402,white
322,191,191,180,404,white
321,188,189,180,406,white
321,189,190,180,404,white
320,188,189,180,403,white
321,188,189,180,406,white
321,189,190,180,404,white
321,191,191,181,400,white
321,191,192,181,399,white
322,191,192,181,402,white
321,190,191,181,401,white
322,191,191,181,403,white
322,191,190,180,405,white
320,188,189,180,403,white
321,189,190,180,404,white
321,191,191,181,400,white
321,191,191,180,401,white
321,191,190,180,402,white
321,191,191,181,400,white
321,191,191,181,400,white
322,191,191,181,403,white
321,189,190,180,404,white
320,188,189,180,403,white
321,191,190,180,402,white
321,191,191,180,401,white
321,191,191,180,401,white
321,191,191,181,400,white
321,191,191,181,400,white
320,189,189,180,402,white
320,189,190,180,401,white
321,191,191,181,400,white
321,189,189,180,405,white
320,189,190,180,401,white
321,191,190,180,402,white
321,190,191,180,402,white
321,191,191,180,401,white
321,191,190,180,402,white
320,187,189,180,404,white
320,188,189,180,403,white
320,190,191,180,399,white
321,191,191,180,401,white
321,191,191,181,400,white
321,191,191,180,401,white
320,188,189,179,404,white
320,190,189,180,401,white
320,190,191,180,399,white
320,191,191,180,398,white
321,190,190,181,402,white
321,190,190,180,403,white
320,189,189,179,403,white
320,187,189,179,405,white
321,190,191,180,402,white
321,191,191,181,400,white
321,190,190,180,403,white
320,188,189,180,403,white
320,188,189,179,404,white
320,188,189,179,404,white
320,189,189,180,402,white
321,190,190,180,403,white
321,190,190,180,403,white
321,190,191,180,402,white
321,191,190,180,402,white
320,190,191,180,399,white
321,191,191,180,401,white
321,190,190,180,403,white
320,188,189,180,403,white
320,190,191,180,399,white
321,190,190,180,403,white
320,187,188,179,406,white
320,188,189,180,403,white
320,190,190,180,400,white
321,191,191,180,401,white
321,190,190,180,403,white
320,188,189,180,403,white
320,187,188,180,405,white
320,189,189,180,402,white
320,190,191,180,399,white
321,190,191,180,402,white
321,190,191,180,402,white
320,189,188,179,404,white
320,188,189,179,404,white
320,190,191,180,399,white
321,190,191,180,402,white
321,190,191,180,402,white
320,190,190,180,400,white
320,187,188,179,406,white
320,188,189,179,404,white
320,189,189,180,402,white
320,190,191,180,399,white
320,188,188,179,405,white
320,188,189,179,404,white
320,190,190,179,401,white
320,190,191,180,399,white
320,190,191,180,399,white
320,189,189,179,403,white
320,187,189,179,405,white
320,190,191,179,400,white
321,190,191,180,402,white
320,188,189,179,404,white
319,188,189,179,401,white
320,187,188,179,406,white
320,188,190,179,403,white
320,190,191,180,399,white
320,190,190,180,400,white
320,189,189,179,403,white
320,187,188,179,406,white
319,188,189,179,401,white
320,189,189,179,403,white
320,190,190,179,401,white
320,190,191,180,399,white
321,190,189,179,405,white
319,187,188,179,403,white
320,189,189,179,403,white
319,188,189,179,401,white
320,188,189,179,404,white
