White,Red,Green,Blue,Total,color_label
174,142,165,125,90,yellow
263,174,185,136,294,yellow
280,183,191,139,327,yellow
284,189,195,141,327,yellow
288,193,195,142,334,yellow
289,192,197,141,337,yellow
289,195,198,142,332,yellow
291,197,198,143,335,yellow
292,197,197,143,339,yellow
292,196,199,142,339,yellow
291,197,199,142,335,yellow
293,197,198,142,342,yellow
292,195,198,142,341,yellow
291,197,199,142,335,yellow
291,197,199,142,335,yellow
293,198,198,142,341,yellow
293,197,198,141,343,yellow
292,196,198,142,340,yellow
291,198,199,142,334,yellow
293,199,198,142,340,yellow
293,198,198,141,342,yellow
292,197,198,142,339,yellow
291,198,199,142,334,yellow
292,198,198,141,339,yellow
293,198,197,141,343,yellow
291,195,198,141,339,yellow
291,196,198,141,338,yellow
291,198,198,141,336,yellow
292,198,197,141,340,yellow
292,198,198,141,339,yellow
292,195,197,140,344,yellow
291,195,197,140,341,yellow
291,196,198,141,338,yellow
291,198,197,141,337,yellow
292,198,196,141,341,yellow
292,197,196,141,342,yellow
292,197,196,141,342,yellow
291,196,196,140,341,yellow
291,195,196,140,342,yellow
291,196,197,140,340,yellow
290,196,198,140,336,yellow
290,197,197,140,336,yellow
291,198,197,140,338,yellow
292,197,196,140,343,yellow
292,197,196,140,343,yellow
291,195,195,140,343,yellow
291,194,196,140,343,yellow
291,194,196,139,344,yellow
290,194,196,139,341,yellow
291,196,197,140,340,yellow
290,197,197,140,336,yellow
291,197,197,140,339,yellow
291,197,196,140,340,yellow
292,197,195,140,344,yellow
291,194,195,139,345,yellow
291,194,195,139,345,yellow
290,194,195,139,342,yellow
290,194,196,139,341,yellow
289,196,196,140,335,yellow
291,197,195,140,341,yellow
291,197,195,140,341,yellow
290,196,196,139,339,yellow
291,194,196,140,343,yellow
290,194,196,139,341,yellow
289,194,195,139,339,yellow
289,195,196,140,336,yellow
289,196,196,139,336,yellow
289,196,194,139,338,yellow
291,196,194,139,344,yellow
291,196,195,139,343,yellow
291,197,194,140,342,yellow
290,195,194,139,342,yellow
290,193,195,138,344,yellow
290,193,194,138,345,yellow
289,193,195,138,341,yellow
290,193,195,139,343,yellow
289,195,195,139,338,yellow
289,195,196,139,337,yellow
289,196,196,139,336,yellow
290,196,196,139,339,yellow
289,196,194,139,338,yellow
290,196,194,139,341,yellow
290,196,194,139,341,yellow
290,196,194,139,341,yellow
290,195,194,139,342,yellow
290,193,194,138,345,yellow
289,193,194,138,342,yellow
289,192,194,138,343,yellow
290,192,195,139,344,yellow
288,195,195,138,336,yellow
289,195,196,139,337,yellow
288,195,196,139,334,yellow
290,196,195,139,340,yellow
290,196,194,139,341,yellow
290,196,194,139,341,yellow
290,196,194,138,342,yellow
290,196,194,139,341,yellow
290,195,193,139,343,yellow
290,193,194,138,345,yellow
289,193,194,139,341,yellow
289,194,193,139,341,yellow
289,194,194,138,341,yellow
289,192,194,138,343,yellow
289,192,194,138,343,yellow
289,194,193,139,341,yellow
289,195,193,138,341,yellow
290,195,193,139,343,yellow
289,195,193,138,341,yellow
289,192,194,138,343,yellow
289,193,194,138,342,yellow
289,194,193,138,342,yellow
289,194,194,137,342,yellow
289,192,194,138,343,yellow
289,192,194,138,343,yellow
288,193,194,138,339,yellow
288,195,195,138,336,yellow
289,195,194,138,340,yellow
290,195,195,138,342,yellow
288,193,194,138,339,yellow
288,193,194,138,339,yellow
288,193,194,137,340,yellow
289,193,195,138,341,yellow
288,194,194,138,338,yellow
288,192,194,137,341,yellow
288,192,194,137,341,yellow
288,192,194,137,341,yellow
289,192,194,138,343,yellow
288,193,194,138,339,yellow
288,192,193,137,342,yellow
289,192,193,137,345,yellow
288,192,193,137,342,yellow
289,192,194,137,344,yellow
289,192,193,137,345,yellow
288,191,193,137,343,yellow
289,192,193,138,344,yellow
289,192,193,138,344,yellow
289,192,194,138,343,yellow
288,193,194,138,339,yellow
288,192,193,137,342,yellow
288,192,194,138,340,yellow
288,193,194,137,340,yellow
288,194,194,138,338,yellow
287,194,195,138,334,yellow
287,193,194,137,337,yellow
288,192,193,138,341,yellow
288,195,194,138,337,yellow
288,195,194,138,337,yellow
287,194,194,138,335,yellow
288,195,194,138,337,yellow
288,193,194,138,339,yellow
287,194,194,138,335,yellow
287,194,194,138,335,yellow
287,194,194,138,335,yellow
288,193,194,137,340,yellow
288,193,194,138,339,yellow
287,194,194,138,335,yellow
288,192,193,137,342,yellow
288,192,193,137,342,yellow
288,192,193,137,342,yellow
289,192,193,137,345,yellow
288,192,193,137,342,yellow
288,191,193,138,342,yellow
289,193,193,138,343,yellow
288,191,193,137,343,yellow
288,193,193,137,341,yellow
288,191,193,137,343,yellow
289,191,193,138,345,yellow
288,191,193,137,343,yellow
289,191,193,137,346,yellow
288,191,193,138,342,yellow
288,193,192,138,341,yellow
288,193,192,138,341,yellow
288,193,193,138,340,yellow
288,194,192,138,340,yellow
288,192,193,137,342,yellow
288,193,192,137,342,yellow
289,194,192,138,343,yellow
289,194,193,138,342,yellow
288,193,192,137,342,yellow
288,194,192,138,340,yellow
288,194,192,138,340,yellow
288,193,192,138,341,yellow
289,194,192,138,343,yellow
289,194,193,137,343,yellow
289,194,194,137,342,yellow
287,194,194,137,336,yellow
288,194,194,137,339,yellow
287,194,194,137,336,yellow
287,194,194,137,336,yellow
287,192,193,137,339,yellow
287,191,193,137,340,yellow
288,191,193,137,343,yellow
288,192,193,137,342,yellow
288,191,193,137,343,yellow
288,191,193,137,343,yellow
288,192,194,137,341,yellow
287,192,193,136,340,yellow
288,191,192,137,344,yellow
288,191,192,136,345,yellow
287,191,193,136,341,yellow
288,193,193,137,341,yellow
287,192,193,137,339,yellow
287,191,193,137,340,yellow
288,191,192,136,345,yellow
287,191,192,137,341,yellow
288,191,193,137,343,yellow
287,191,192,137,341,yellow
288,193,192,137,342,yellow
289,194,192,137,344,yellow
288,193,192,137,342,yellow
289,192,192,137,346,yellow
288,194,192,137,341,yellow
289,194,194,137,342,yellow
287,193,193,137,338,yellow
287,192,193,137,339,yellow
288,192,193,137,342,yellow
287,193,193,137,338,yellow
287,191,193,137,340,yellow
288,191,192,137,344,yellow
288,193,192,137,342,yellow
288,193,192,137,342,yellow
288,193,191,137,343,yellow
