r_norm,g_norm,b_norm,r_g,r_b,g_b,saturation,reflectance,colorfulness,is_red,is_green,is_blue,color_label
109.0,109.0,255.0,0.9999999908256881,0.4274509787158785,0.4274509787158785,0.5725490173625529,1.3888888117283993,-0.27999998880000043,0,0,1,brown
204.0,176.0,129.0,1.1590909025051654,1.5813953365783306,1.3643410746950304,0.367647057021338,0.5089285668845663,0.9649122637734691,1,0,0,brown
201.0,177.0,131.0,1.1355932139232021,1.534351133325564,1.3511450278538548,0.34825870473503134,0.485714282244898,1.0588235138408306,1,0,0,brown
204.0,173.0,132.0,1.1791907446289553,1.5454545337465566,1.310606050677227,0.3529411747404844,0.48979591503540193,1.0416666521990743,1,0,0,brown
203.0,173.0,133.0,1.1734103978415584,1.5263157779976257,1.300751869919159,0.3448275845082385,0.47499999703125,1.1052631433518008,1,0,0,brown
204.0,174.0,130.0,1.172413786365438,1.5692307571597635,1.3384615281656806,0.36274509626105345,0.4850299372153896,1.0617283819539707,1,0,0,brown
208.0,170.0,130.0,1.223529404567474,1.599999987692308,1.3076922976331362,0.3749999981971154,0.4853801141205841,1.0602409510814343,1,0,0,brown
204.0,171.0,134.0,1.1929824491638454,1.5223880483403878,1.2761193934617956,0.34313725321991545,0.47513811892188884,1.1046511499459168,1,0,0,brown
206.0,173.0,130.0,1.190751438203749,1.5846153724260357,1.3307692205325445,0.3689320370440192,0.4806629807698178,1.0804597576958648,1,0,0,brown
206.0,171.0,131.0,1.2046783555281968,1.5725190719655033,1.3053435014859276,0.3640776681355453,0.4808743143121622,1.0795454422778927,1,0,0,brown
205.0,174.0,130.0,1.17816091276919,1.5769230647928996,1.3384615281656806,0.3658536567519334,0.47593582633189396,1.101123583133443,1,0,0,brown
207.0,170.0,131.0,1.2176470516608997,1.5801526596934912,1.2977099137579395,0.367149756680436,0.48128341988618495,1.0777777658024692,1,0,0,brown
206.0,175.0,128.0,1.1771428504163266,1.609374987426758,1.3671874893188478,0.37864077486096714,0.47894736590027703,1.0879120759570102,1,0,0,brown
