r_norm,g_norm,b_norm,r_g,r_b,g_b,saturation,reflectance,colorfulness,is_red,is_green,is_blue,color_label
164.0,229.0,116.0,0.7161572021128506,1.4137930912604044,1.9741379140160524,0.49344977950458613,0.6590909065943527,0.5172413763376933,0,1,0,yellow
177.0,187.0,144.0,0.946524059109497,1.2291666581307872,1.2986111020929785,0.22994652283451059,0.4721723510373925,1.117870718183001,0,1,0,yellow
179.0,185.0,145.0,0.9675675623374727,1.2344827501070155,1.2758620601664685,0.21621621504747993,0.46128500747728995,1.1678571386862244,0,1,0,yellow
180.0,185.0,143.0,0.9729729677136596,1.2587412499388724,1.2937062846593967,0.22702702579985393,0.46481178319998073,1.1514084466499703,0,1,0,yellow
182.0,183.0,143.0,0.9945355136910627,1.2727272638270821,1.279720270771187,0.21857923377825555,0.46302250729417604,1.159722218195409,0,1,0,yellow
181.0,185.0,143.0,0.9783783730898467,1.2657342568829772,1.2937062846593967,0.22702702579985393,0.46166134111555696,1.1660899613630105,0,1,0,yellow
182.0,185.0,142.0,0.9837837784660336,1.2816901318190836,1.3028168922336838,0.23243243117604093,0.4653784211507594,1.148788923360592,0,1,0,yellow
183.0,184.0,142.0,0.9945652119860586,1.288732385290617,1.2957746387621505,0.22826086832466919,0.46485622928936704,1.1512027451848703,0,1,0,yellow
183.0,183.0,142.0,0.9999999945355191,1.288732385290617,1.288732385290617,0.22404371462271194,0.46275752700038425,1.1609589001337024,1,0,0,yellow
182.0,185.0,142.0,0.9837837784660336,1.2816901318190836,1.3028168922336838,0.23243243117604093,0.46275752700038425,1.1609589001337024,0,1,0,yellow
183.0,184.0,141.0,0.9945652119860586,1.2978723312207636,1.3049645297520247,0.233695650903828,0.46485622928936704,1.1512027451848703,0,1,0,yellow
183.0,184.0,142.0,0.9945652119860586,1.288732385290617,1.2957746387621505,0.22826086832466919,0.46141732210800424,1.1672354908968072,0,1,0,yellow
182.0,184.0,142.0,0.9891304294068999,1.2816901318190836,1.2957746387621505,0.22826086832466919,0.46129541791264544,1.167808215178739,0,1,0,yellow
183.0,184.0,141.0,0.9945652119860586,1.2978723312207636,1.3049645297520247,0.233695650903828,0.46485622928936704,1.1512027451848703,0,1,0,yellow
183.0,184.0,141.0,0.9945652119860586,1.2978723312207636,1.3049645297520247,0.233695650903828,0.46485622928936704,1.1512027451848703,0,1,0,yellow
183.0,183.0,142.0,0.9999999945355191,1.288732385290617,1.288732385290617,0.22404371462271194,0.4621451096811591,1.1638225216251792,1,0,0,yellow
183.0,184.0,141.0,0.9945652119860586,1.2978723312207636,1.3049645297520247,0.233695650903828,0.46069182317501284,1.1706484601684353,0,1,0,yellow
183.0,184.0,142.0,0.9945652119860586,1.288732385290617,1.2957746387621505,0.22826086832466919,0.4620253157246435,1.1643835576562207,0,1,0,yellow
183.0,184.0,141.0,0.9945652119860586,1.2978723312207636,1.3049645297520247,0.233695650903828,0.46559999925504,1.1477663190798408,0,1,0,yellow
184.0,183.0,141.0,1.0054644753799755,1.3049645297520247,1.2978723312207636,0.233695650903828,0.46287519674111344,1.160409552353551,1,0,0,yellow
184.0,184.0,141.0,0.9999999945652175,1.3049645297520247,1.3049645297520247,0.233695650903828,0.46141732210800424,1.1672354908968072,1,0,0,yellow
183.0,184.0,142.0,0.9945652119860586,1.288732385290617,1.2957746387621505,0.22826086832466919,0.46275752700038425,1.1609589001337024,0,1,0,yellow
183.0,184.0,141.0,0.9945652119860586,1.2978723312207636,1.3049645297520247,0.233695650903828,0.46559999925504,1.1477663190798408,0,1,0,yellow
184.0,184.0,141.0,0.9999999945652175,1.3049645297520247,1.3049645297520247,0.233695650903828,0.46275752700038425,1.1609589001337024,1,0,0,yellow
184.0,183.0,141.0,1.0054644753799755,1.3049645297520247,1.2978723312207636,0.233695650903828,0.46069182317501284,1.1706484601684353,1,0,0,yellow
182.0,185.0,142.0,0.9837837784660336,1.2816901318190836,1.3028168922336838,0.23243243117604093,0.46190476117157975,1.1649484496049882,0,1,0,yellow
183.0,184.0,141.0,0.9945652119860586,1.2978723312207636,1.3049645297520247,0.233695650903828,0.46263910896241794,1.1615120234999587,0,1,0,yellow
